,number_of_reviews,user_ratings,Star_Rating,Family_rooms,Non_Smoking_Rooms,bar,Heating,Lifts,Single_Bed,price,Breakfast Cuisine1,review_score_numeric,Birmingham,Dubai,Kuala Lumpur,London,Manchester,Melbourne,New Delhi,Paris,Sydney,Tokyo,Toronto
0,5.963579343618446,8.4,3,0,1,0,1,1,1,8.916103530553727,1,7,0,0,0,0,0,0,0,0,0,1,0
1,6.917705609835305,8.4,4,0,0,0,1,1,1,9.128262260940575,0,7,0,0,0,0,0,0,0,0,0,1,0
2,6.311734809152915,8.5,3,0,0,0,1,1,1,9.023287640806327,0,7,0,0,0,0,0,0,0,0,0,1,0
3,6.831953565565855,8.5,4,0,1,1,0,0,1,10.232935174220376,1,7,0,0,0,0,0,0,0,0,0,1,0
4,5.700443573390687,9.6,2,1,1,0,1,1,1,9.74449182104567,1,10,0,0,0,0,0,0,0,0,0,1,0
5,6.741700694652055,9.0,3,0,1,0,1,1,0,9.018937706446035,0,9,0,0,0,0,0,0,0,0,0,1,0
6,6.20050917404269,8.0,3,0,1,0,1,1,1,9.039670667922676,1,7,0,0,0,0,0,0,0,0,0,1,0
7,8.327000740241713,8.2,4,0,1,0,1,1,1,9.109967397829395,1,7,0,0,0,0,0,0,0,0,0,1,0
8,6.335054251498059,8.1,3,0,1,0,1,1,1,8.8427489162961,1,7,0,0,0,0,0,0,0,0,0,1,0
9,8.0861025356691,8.0,3,0,1,0,1,1,1,8.92771217382708,1,7,0,0,0,0,0,0,0,0,0,1,0
10,8.358431899031295,8.3,4,0,1,0,0,0,1,8.863474306170954,0,7,0,0,0,0,0,0,0,0,0,1,0
11,7.57095858316901,8.5,3,0,1,0,1,1,1,9.007856923358275,0,7,0,0,0,0,0,0,0,0,0,1,0
12,6.9865664594064265,8.1,3,0,1,0,1,1,1,8.73294952429643,1,7,0,0,0,0,0,0,0,0,0,1,0
13,6.008813185442595,7.6,3,0,1,0,1,1,1,8.771680359010377,1,6,0,0,0,0,0,0,0,0,0,1,0
14,7.099201743553092,8.0,3,0,1,0,1,1,1,8.938794081433805,1,7,0,0,0,0,0,0,0,0,0,1,0
15,7.097548850614793,8.4,3,1,1,0,1,1,1,9.198571388376184,1,7,0,0,0,0,0,0,0,0,0,1,0
16,7.114769448366463,8.1,3,0,1,0,1,1,1,8.793156870913819,1,7,0,0,0,0,0,0,0,0,0,1,0
17,7.556427969440253,8.7,3,0,0,0,1,1,1,8.772455372611907,1,8,0,0,0,0,0,0,0,0,0,1,0
18,7.981049759665957,7.7,3,1,1,0,1,1,1,8.496990484098719,0,6,0,0,0,0,0,0,0,0,0,1,0
19,7.205635176410364,7.9,3,0,1,0,1,1,1,8.78462153484075,1,6,0,0,0,0,0,0,0,0,0,1,0
20,7.081708586105575,8.5,3,0,1,1,1,1,1,8.627660644442209,0,7,0,0,0,0,0,0,0,0,0,1,0
21,8.103191752285786,8.7,4,0,1,0,1,1,1,9.476390144300849,1,8,0,0,0,0,0,0,0,0,0,1,0
22,7.025538314638521,8.3,3,0,1,0,1,1,1,8.644530439877432,1,7,0,0,0,0,0,0,0,0,0,1,0
23,7.334981878871814,8.2,3,0,1,0,1,1,1,8.809862805379057,0,7,0,0,0,0,0,0,0,0,0,1,0
24,6.077642243349034,8.3,3,0,1,0,1,1,1,8.542080906924017,1,7,0,0,0,0,0,0,0,0,0,1,0
34,7.7501841622578365,8.2,3,0,1,0,1,1,1,9.279866434624793,0,7,0,0,0,0,0,0,0,0,0,1,0
35,5.1298987149230735,8.7,3,1,1,0,1,1,1,9.460476328353995,1,8,0,0,0,0,0,0,0,0,0,1,0
36,6.278521424165844,8.6,3,0,0,0,1,1,0,8.889997357284841,1,8,0,0,0,0,0,0,0,0,0,1,0
37,6.79794041297493,8.4,3,0,1,0,1,1,1,9.229456489168413,1,7,0,0,0,0,0,0,0,0,0,1,0
38,7.271008538280992,7.1,3,0,1,0,1,1,1,8.353261499733874,0,6,0,0,0,0,0,0,0,0,0,1,0
39,4.919980925828125,8.0,2,0,1,0,1,1,1,8.917712757131387,0,7,0,0,0,0,0,0,0,0,0,1,0
40,8.440959885416648,8.3,3,0,1,0,1,1,1,8.753371421000903,0,7,0,0,0,0,0,0,0,0,0,1,0
41,7.3343293503005365,8.9,5,0,1,1,1,1,1,10.409853245580026,1,8,0,0,0,0,0,0,0,0,0,1,0
42,8.162516250140179,8.3,4,1,1,1,1,1,1,9.545311482471128,1,7,0,0,0,0,0,0,0,0,0,1,0
43,7.520234556474628,8.4,4,0,1,0,1,1,1,9.346356175893625,1,7,0,0,0,0,0,0,0,0,0,1,0
44,7.823245690685523,7.9,4,0,1,1,1,1,1,9.590350910611878,0,6,0,0,0,0,0,0,0,0,0,1,0
45,8.076204527239026,7.6,3,0,1,0,1,1,1,9.269363712425644,1,6,0,0,0,0,0,0,0,0,0,1,0
46,7.3427791893318455,8.1,3,1,1,0,0,1,1,9.033006356693267,0,7,0,0,0,0,0,0,0,0,0,1,0
47,7.1372784372603855,7.7,3,0,1,0,1,1,1,8.656259239539235,1,6,0,0,0,0,0,0,0,0,0,1,0
48,8.527341522468053,8.7,4,0,1,1,0,1,1,10.038499099192006,0,8,0,0,0,0,0,0,0,0,0,1,0
49,7.796469243086058,8.1,3,0,1,0,1,1,1,9.25349564229011,1,7,0,0,0,0,0,0,0,0,0,1,0
50,7.254884810077338,8.5,3,1,1,0,1,1,1,9.038721338315364,1,7,0,0,0,0,0,0,0,0,0,1,0
51,7.079184394609668,7.8,2,1,1,1,1,1,1,8.416930769477844,1,6,0,0,0,0,0,0,0,0,0,1,0
52,6.12029741895095,7.6,3,0,1,0,1,1,1,8.72518249495877,1,6,0,0,0,0,0,0,0,0,0,1,0
53,6.0063531596017325,8.0,3,0,1,0,0,1,1,9.098961783992793,1,7,0,0,0,0,0,0,0,0,0,1,0
54,6.826545223556594,8.4,4,0,1,0,1,1,1,8.835937789319836,0,7,0,0,0,0,0,0,0,0,0,1,0
55,7.0431599159883405,7.9,3,0,1,0,1,0,1,8.645938147306799,1,6,0,0,0,0,0,0,0,0,0,1,0
