,city,Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Single_Bed,Double_bed,Room_type,price,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
46,Tokyo,APA Hotel Shinjuku-Kabukicho Tower,yes,"160-0021 Tokyo-to, Shinjuku-ku, Kabukicho 1-20-2, Japan",3216,7.6,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,10607,American,no,no
47,Tokyo,Hotel Tokyo Trip Ueno Nishi Nippori,yes,"116-0013 Tokyo-to, Arakawa-ku, Nishinippori 5-18-14, Japan",1544,8.1,3,Very good,yes,yes,no,no,no,yes,single bed,double bed,Standard Semi-Double Room Non-Smoking,8374,no,no,no
48,Tokyo,Toyoko Inn Tokyo Monzen-nakacho Eitaibashi,yes,"135-0034 Tokyo-to, Koto-ku Eitai 1-15-3, Japan",1257,7.7,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Economy Double Room - Smoking,5745,Asian,no,no
49,Tokyo,The Royal Park Hotel Iconic Tokyo Shiodome,no,"105-8333 Tokyo-to, Minato-ku, Higashishimbashi 1-6-3, Japan",5050,8.7,4,Fabulous,no,yes,yes,yes,no,yes,single bed,double bed,Economy Double Room,22890,no,no,no
50,Tokyo,Sotetsu Fresa Inn Tokyo Roppongi,yes,"106-0032 Tokyo-to, Minato-ku, Roppongi 3-10-1, Japan",2431,8.1,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,10440,Continental,no,no
51,Tokyo,hotel MONday Asakusa,yes,"111-0032 Tokyo-to, Taito-ku Asakusa 2-26-7, Japan",1414,8.5,3,Very good,yes,yes,no,no,yes,yes,single bed,double bed,Standard Twin Room,8422,Buffet,no,no
52,Tokyo,Tokyo Guest House Ouji Music Lounge,yes,"114-0023 Tokyo-to, Kita-ku Takinogawa 2-4-17, Japan",1186,7.8,2,Good,yes,yes,no,yes,yes,yes,single bed,double bed,Double Room with Shared Bathroom,4522,Vegetarian, Vegan, American
53,Tokyo,Toyoko Inn Omori,yes,"143-0016 Tokyo-to, Ota-ku Omori -kita 1-23-8 , Japan",454,7.6,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Economy Double Room - Non-Smoking,6155,Buffet,no,no
54,Tokyo,Dormy Inn EXPRESS Asakusa,no,"111-0033 Tokyo-to, Taito-ku, Hanakawado 1-3-4, Japan",405,8.0,3,Very good,no,yes,no,no,no,yes,single bed,double bed,Residential Economy Double Room on Station Side - Non- Smoking,8945,Buffet,no,no
55,Tokyo,Tmark City Hotel Tokyo Omori,yes,"143-0011 Tokyo-to, Ota-ku Omorihoncho 1-2-10, Japan",921,8.4,4,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,6876,no,no,no
56,Tokyo,Toyoko Inn Tokyo Akabane-eki Higashi-guchi,yes,"115-0045 Tokyo-to, Kita-ku Akabane 1-11-11, Japan",1144,7.9,3,Good,no,yes,no,no,yes,no,single bed,double bed,Economy Double Room - Non-Smoking,5686,Asian,no,no
57,Tokyo,Chang Tee Hotel Ikebukuro,yes,"171-0014 Tokyo-to, Toshima-ku, Ikebukuro 2-32-4, Japan",90,7.5,2,Good,no,yes,no,no,yes,yes,single bed,double bed,Japanese-Style Twin Room - Non-Smoking,4745,no,no,no
58,Tokyo,plat hostel keikyu haneda home,yes,"144-0043 Tokyo-to, Ota-ku Haneda 5-23-5, Japan",1399,8.4,1,Very good,yes,no,no,no,yes,yes,,double bed,Standard Twin Room with Shared Bathroom,6007,no,no,no
59,Tokyo,Hotel Monterey Akasaka,yes,"107-0052 Tokyo-to, Minato-ku, Akasaka 4-9-24, Japan",1170,8.3,4,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,11333,Buffet,no,no
60,Tokyo,APA Hotel TKP Nippori Ekimae,yes,"116-0014 Tokyo-to, Higashi-Nippori 5-52-9, Japan",1151,8.1,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,6789,American,no,no
61,Tokyo,Tokyo Bay Shiomi Prince Hotel,yes,"135-0052 Tokyo-to, Koto-ku Shiomi 2-8-16, Japan",4007,9.1,4,Superb,yes,yes,yes,yes,yes,yes,single bed,double bed,Superior Twin Room,17158,no,no,no
62,Tokyo,Red Roof Inn Kamata / Haneda Tokyo,yes,"144-0051 Tokyo-to, Ota-ku Nishikamata 7-24-7, Japan",1283,7.8,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Double Room with Bathroom,4555,no,no,no
63,Tokyo,E Hotel Higashi Shinjuku,yes,"160-0021 Tokyo-to, Shinjuku-ku, Kabukicho 2-3-15, Japan",1534,7.3,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Non-Smoking,8765,Continental,no,no
64,Tokyo,Akabane Holic Hotel,yes,"115-0045 Tokyo-to, Kita-ku, Akanabe 1-4-4, Japan",1268,8.5,3,Very good,yes,yes,no,yes,yes,yes,single bed,double bed,Double Room,7738,Asian, American,no
65,Tokyo,Grand Prince Hotel Takanawa,yes,"108-8612 Tokyo-to, Minato-ku, Takanawa 3-13-1, Japan",1239,8.3,4,Very good,no,yes,yes,yes,yes,yes,single bed,double bed,Superior Double Room - Non-Smoking,12108,no,no,no
66,Tokyo,KOKO HOTEL Ginza-1chome,yes,"104-0061 Tokyo-to, Chuo-ku Ginza1-9-5, Japan",4336,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Semi Double Room - Non-Smoking,12823,no,no,no
67,Tokyo,Shinagawa Tobu Hotel,yes,"108-0074 Tokyo-to, Minato-ku Takanawa 4-7-6, Japan",2875,7.8,3,Good,yes,yes,no,no,yes,yes,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,7978,American,no,no
68,Tokyo,Hotel Sting,yes,"111-0032 Tokyo-to, Taito-ku Asakusa 2-25-5, Japan",122,7.3,1,Good,no,no,no,no,yes,yes,,double bed,Standard King Room,4578,no,no,no
69,Tokyo,Quintessa Hotel Tokyo Ginza,yes,"104-0061 Tokyo-to, Chuo-ku Ginza 4-11-4, Japan",1988,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room,16414,Continental,no,no
70,Tokyo,KOKO HOTEL Premier Nihonbashi Hamacho,yes,"103-0007 Tokyo-to, Chuo-ku Nihonbashihamacho 2-30-4, Japan",863,8.6,4,Fabulous,no,yes,no,no,yes,yes,single bed,double bed,Moderate Double Room - Non-Smoking,13803,no,no,no
71,Tokyo,APA Hotel Asakusa Kuramae Ekimae,no,"111-0051 Tokyo-to, Taito-ku Kuramae 2-4-4, Japan",468,8.3,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room,5778,American,no,no
72,Tokyo,Tokyo Prince Hotel,yes,"105-8560 Tokyo-to, Minato-ku, Shibakoen 3-3-1, Japan",919,8.3,4,Very good,no,yes,yes,yes,yes,yes,single bed,double bed,Superior Double Room - Non-Smoking,16685,American,no,no
73,Tokyo,【駅から徒歩1分】徒歩で新大久保駅2分・大久保駅1分圏内/新宿まで電車で5分,yes,"169-0073 Tokyo-to, 百人町１丁目１６−２２−２０２, Japan",1,9.0,3,Superb,no,no,no,no,yes,no,single bed,,Double Room,4598,no,no,no
74,Tokyo,APA Hotel Ueno Hirokoji,yes,"101-0021 Tokyo-to, Chiyoda-ku Sotokanda 5-3-3, Japan",745,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room,5628,no,no,no
75,Tokyo,APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,yes,"100-0014 Tokyo-to, Chiyoda-ku Nagata-cho 2-10-2, Japan",1349,8.4,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room (2 Adults) - Non-Smoking,8598,American,no,no
76,Tokyo,APA Hotel Asakusa Kuramae Kita,yes,"111-0043 Tokyo-to, Taito-ku Komagata 2-4-10, Japan",482,8.5,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room - Electronic Cigarette,5778,Buffet,no,no
77,Tokyo,L stay & grow Minami Sunamachi,no,"136-0076 Tokyo-to, 7-10-14 Minamisuna, Japan",437,8.6,3,Fabulous,no,yes,no,no,no,no,single bed,double bed,Double Room,5695,no,no,no
78,Tokyo,hotel MONday Haneda Airport,yes,"144-0047 Tokyo-to, Ota-ku Haginaka 3-6-9, Japan",2474,8.2,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double or Twin Room,6976,Continental,no,no
79,Tokyo,Far East Village Hotel Tokyo Ariake,yes,"135-0063 Tokyo-to, Koto-ku Ariake 1-2-43, Japan",2535,8.1,5,Very good,no,yes,no,no,yes,yes,single bed,double bed,Run of House,6043,Continental,no,no
80,Tokyo,The Peninsula Tokyo,yes,"100-0006 Tokyo-to, Chiyoda-ku Yurakucho 1-8-1, Japan",482,9.1,3,Superb,yes,yes,no,yes,yes,yes,single bed,double bed,Premier King Room,123591,Continental, Vegetarian, American
81,Tokyo,Hotel Graphy Nezu,yes,"110-0008 Tokyo-to, Taito-ku Ikenohata 4-5-10, Japan",1345,8.3,3,Very good,no,yes,no,yes,yes,yes,single bed,double bed,Small Double Room with Shared Bathroom,8039,American,no,no
82,Tokyo,APA Hotel Ueno Inaricho Ekikita,yes,"110-0015 Tokyo-to, Taito-ku Higashiueno 5-10-8, Japan",1393,8.2,4,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Room - Non-Smoking (2 Adults),6085,no,no,no
83,Tokyo,Shinjuku Washington Hotel,yes,"160-8336 Tokyo-to, Shinjuku-ku, Nishishinjuku 3-2-9, Japan",3899,7.1,3,Good,no,yes,yes,no,yes,yes,single bed,double bed,Economy Double Room - Non-Smoking,11451,Continental, Asian, American
84,Tokyo,Super Hotel Tokyo Otsuka,yes,"170-0004 Tokyo-to, Toshima-ku Kitaotsuka 2-17-13, Japan",542,8.5,3,Very good,no,yes,no,no,yes,yes,,double bed,Double Room,5728,Continental, Asian, American
85,Tokyo,APA Hotel Keikyu Kamata-Ekimae,yes,"144-0052 Tokyo-to, Ota-ku, Kamata 3-19-1, Japan",918,8.4,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room,7085,Asian, American,no
86,Tokyo,Super Hotel JR Ueno Iriyaguchi,no,"110-0005 Tokyo-to, Taito-ku Ueno 7-9-14, Japan",228,7.7,3,Good,no,yes,no,yes,no,yes,single bed,double bed,Double Room with Loft Bed,6439,Buffet,no,no
87,Tokyo,HOTEL MYSTAYS Hamamatsucho,yes,"105-0013 Tokyo-to, Minato-ku, Hamamatsucho 1-18-14 , Japan",1045,8.0,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Smoking,5803,no,no,no
88,Tokyo,Toyoko Inn Tokyo Akiba Asakusabashi-eki Higashi-guchi,yes,"111-0052 Tokyo-to, Taito-ku Yanagibashi 2-14-4, Japan",323,7.8,3,Good,no,yes,no,no,yes,no,single bed,double bed,Economy Double Room - Smoking,5862,Asian,no,no
89,Tokyo,HOTEL MYSTAYS Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-5-5 , Japan",1498,8.0,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,8542,no,no,no
90,Tokyo,Ryogoku View Hotel,yes,"130-0036 Tokyo-to, Sumida-ku Ryogoku 2-19-1, Japan",269,7.8,3,Good,yes,yes,no,no,yes,yes,single bed,,Double Decker Room - Non Smoking,7503,no,no,no
91,Tokyo,APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,yes,"151-0071 Tokyo-to, Shibuya-ku Honmachi 3-14-1, Japan",1235,8.2,1,Very good,no,yes,no,no,yes,yes,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,10607,Full English/Irish, American,no
92,Tokyo,Theater Zzz,yes,"130-0011 Tokyo-to, Sumida-ku Ishiwara 1-18-7 Central Mansion 1F, Japan",243,7.8,3,Good,no,yes,no,no,yes,no,,,Tent,3618,no,no,no
93,Tokyo,Henn na Hotel Tokyo Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-10-5, Japan",2597,7.9,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Deluxe Twin Room,8933,Halal, Asian,no
94,Tokyo,APA Hotel Nihombashi Bakuroyokoyama Ekimae,yes,"103-0003 Tokyo-to, Chuo-ku Nihonbashiyokoyamacho 5-6, Japan",731,8.3,4,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room,7085,Breakfast to go,no,no
95,Tokyo,Tosei Hotel Cocone Tsukiji Ginza Premier,no,"104-0045 Tokyo-to, Chuo-ku Tsukiji 6-23-8, Japan",43,8.5,3,Very good,no,yes,no,yes,no,yes,single bed,double bed,Moderate Double Room,13957,no,no,no
96,Tokyo,Hotel Cerezo,yes,"110-0003 Tokyo-to, Taito-ku Negishi 2-6-1, Japan",238,7.3,3,Good,yes,yes,no,no,yes,yes,single bed,double bed,Economy Double Room - Smoking,3517,no,no,no
97,Tokyo,APA Hotel Akihabara Ekikita,yes,"110-0016 Tokyo-to, Taito-ku Taito 1-29-2, Japan",1860,8.0,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Standard Double Room - Non-Smoking,7085,no,no,no
98,Tokyo,remm Akihabara,yes,"101-0025 Tokyo-to, Chiyoda-ku Kanda Sakumacho  1-6-5 , Japan",1573,8.3,3,Very good,no,yes,no,no,yes,yes,single bed,double bed,Economy Double Room - Non-Smoking,10607,Asian, American,no
99,Tokyo,The Kanzashi Tokyo Asakusa,yes,"111-0032 Tokyo-to, Taito-ku Asakusa 2-27-10, Japan",1435,8.6,3,Fabulous,no,yes,no,no,no,yes,single bed,double bed,Double Room,8129,American,no,no
100,Tokyo,APA Hotel TKP Tokyo Nishi-Kasai,yes,"134-0088 Tokyo-to, Edogawa-ku Nishi-Kasai 6-15‐24, Japan",1174,7.8,3,Good,no,yes,no,no,yes,yes,single bed,double bed,Economy Double Room - Non-Smoking,5577,no,no,no
101,Tokyo,HOTEL MYSTAYS Kiyosumi Shirakawa,yes,"135-0006 Tokyo-to, Koto-ku Tokiwa  1-12-16 , Japan",738,8.3,4,Very good,no,no,no,no,yes,yes,single bed,double bed,Standard Twin Room - Smoking - House Keeping is Optional with Additional Cost,6164,no,no,no
102,Tokyo,Shinagawa Prince Hotel N Tower,yes,"108-8611 Tokyo-to, Minatoku Takanawa 4-10-30, Japan",306,7.9,4,Good,no,yes,yes,yes,yes,yes,single bed,double bed,"Double Room with Lounge Access ＆ Complimentary Breakfast ""N's Morning""- Non-Smoking",15134,Continental,no,no
103,Tokyo,Vessel Inn Asakusa Tsukuba Express,yes,"111-0031 Tokyo-to, Taito-ku, Senzoku 1-15-1, Japan",124,8.4,5,Very good,yes,yes,no,no,yes,yes,single bed,double bed,Comfort Double Room - Non-Smoking,10979,Buffet,no,no
104,Tokyo,Hilton Tokyo Odaiba,no,"135-8625 Tokyo-to, Minato-ku Daiba  1-9-1 , Japan",729,8.3,3,Very good,no,yes,no,yes,yes,yes,single bed,double bed,Twin Guest Room - Non-Smoking - 33sqm,23124,no,no,no
105,Tokyo,Artsy Inn 東上野,yes,"110-0015 Tokyo-to, 東上野六丁目 7番10号Artsy　Inn, Japan",792,7.8,4,Good,no,yes,no,no,no,no,single bed,double bed,Double Room with Private Bathroom,5304,no,no,no
