sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
656,Base Hanegi Apartment,yes,no,yes,no,no,yes,no,no,no,no
657,Hotel Shu,yes,no,yes,no,no,yes,yes,no,no,no
658,HIZ HOTEL Ginza,yes,no,yes,no,no,yes,yes,no,no,no
659,Stay SAKURA Tokyo ASAKUSA ART DECO HOTEL,yes,yes,yes,no,no,yes,yes,no,no,no
660,WIRES HOTEL James zaka,yes,yes,yes,no,no,yes,yes,no,no,no
661,RoNa Hotel,yes,yes,yes,no,no,yes,no,no,no,no
662,Jeffery Skytree Residence Tokyo,yes,no,yes,no,no,yes,yes,no,no,no
663,Eisei Stay,yes,yes,yes,no,no,yes,yes,no,no,no
664,Aloft Tokyo Ginza,yes,no,yes,no,yes,yes,yes,American,no,no
665,Court Residence Tokyo Nakano,yes,no,yes,no,no,yes,yes,no,no,no
666,"The Tokyo EDITION, Toranomon",yes,no,yes,yes,yes,yes,yes,Asian, American,no
667,Asakusa View Hotel Annex Rokku,yes,no,yes,no,yes,yes,yes,no,no,no
668,American Vintage Suite,yes,yes,yes,no,no,yes,no,no,no,no
669,Laffitte Hirai Condominium Hotel,yes,yes,yes,no,no,yes,no,no,no,no
670,Laffitte Tokyo WEST,yes,yes,yes,no,no,yes,no,no,no,no
671,BnA WALL,yes,no,yes,no,no,yes,yes,no,no,no
672,MONday Apart Premium 浜松町,yes,no,yes,no,no,yes,yes,no,no,no
673,sequence MIYASHITA PARK - Shibuya,yes,no,yes,no,yes,yes,yes,Continental,no,no
674,浅草圈4层独栋别墅 免费停车场 近车站 可直达机场,yes,yes,yes,no,no,no,no,no,no,no
675,nestay suite tokyo tabata,yes,no,yes,no,no,yes,no,no,no,no
676,Stay SAKURA Tokyo Asakusa Edo no Mai,yes,yes,yes,no,no,yes,yes,no,no,no
677,Hotel Resol Ueno,yes,no,yes,no,no,yes,yes,no,no,no
678,Four Seasons Hotel Tokyo at Otemachi,yes,yes,yes,no,yes,yes,yes,Continental, American,no
679,-Yoshitsuki kaku- Yoshitsuki Apart Hotel,yes,yes,yes,no,no,no,yes,no,no,no
680,Minn Ueno-Iriya,yes,yes,yes,no,no,yes,yes,no,no,no
681,Meguroholic Hotel,yes,no,yes,no,no,yes,yes,Asian, American,no
682,"mesm Tokyo, Autograph Collection",yes,no,yes,yes,yes,yes,yes,American,no,no
683,Hotel Vista Tokyo Tsukiji,yes,no,yes,no,no,yes,yes,Asian,no,no
684,Asakusa Skytree View House,yes,yes,yes,no,no,yes,no,no,no,no
685,"Kimpton Shinjuku Tokyo, an IHG Hotel",yes,no,yes,yes,yes,yes,yes,American,no,no
686,Oyado Kien Ryogoku,yes,yes,yes,no,no,no,no,no,no,no
687,YADOYA Uguisu,yes,no,yes,no,no,yes,no,no,no,no
688,ESTABLISHMENT Asakusa,yes,yes,yes,no,no,yes,no,no,no,no
689,MIMARU TOKYO SHINJUKU WEST,yes,yes,yes,no,no,yes,yes,no,no,no
690,LANDABOUT TOKYO,yes,yes,yes,no,yes,yes,yes,Continental,no,no
691,ラフィット御徒町,yes,yes,yes,no,no,yes,no,no,no,no
692,Laffitte Tokyo,yes,no,yes,no,no,yes,no,no,no,no
693,Keio Presso Inn Nihonbashi Kayabacho,yes,no,yes,no,no,no,yes,American,no,no
694,ホテルパセラリビング,yes,yes,yes,no,no,yes,no,no,no,no
695,Ostay UENO Hotel Apartment,yes,no,yes,no,no,no,yes,no,no,no
696,Hotel Petit Bali Garden Shin-Okubo (Adult Only),yes,no,yes,no,yes,yes,yes,no,no,no
697,THE LIVELY TOKYO AZABUJUBAN,yes,yes,yes,no,yes,yes,yes,American,no,no
698,Hakusan House,yes,no,yes,no,no,yes,no,no,no,no
699,H2O Stay Ikebukuro,yes,no,no,no,no,yes,no,no,no,no
700,PLAYSIS Asakusa,yes,yes,yes,no,no,yes,no,Continental,no,no
701,Mitsuba Guest House,yes,yes,yes,no,yes,yes,no,no,no,no
702,koiwa house 3LDK free wifi free parking,yes,no,yes,no,no,no,no,no,no,no
703,KARIO SASAZUKA TERRACE,yes,yes,yes,no,no,yes,yes,no,no,no
704,Mitsui Garden Hotel Ginza-gochome,yes,no,yes,no,no,yes,yes,no,no,no
705,Akihabara Nakagawa Inn,yes,yes,yes,no,no,yes,yes,no,no,no
706,HOTEL D-WAVE Shinjuku（Adult Only),yes,no,yes,no,no,yes,yes,no,no,no
707,The Okura Tokyo,yes,no,yes,yes,yes,yes,yes,no,no,no
708,Keisei Richmond Hotel Tokyo Monzennakacho,yes,no,yes,no,no,yes,yes,American,no,no
709,Book Tea Bed SHINJUKU-GYOEN,yes,no,yes,no,no,yes,yes,no,no,no
710,bnb+ Asakusa Kuramae,yes,no,yes,no,no,yes,yes,no,no,no
711,MIMARU TOKYO HATCHOBORI,yes,yes,yes,no,no,yes,yes,no,no,no
712,Papillon Paradis Higashi-Shinjuku,no,yes,no,no,no,yes,yes,no,no,no
713,The Gate Hotel Tokyo by Hulic,yes,no,yes,yes,yes,yes,yes,Continental, American,no
714,S-peria Inn Nihombashi Hakozaki,yes,no,yes,no,no,yes,yes,no,no,no
715,Guest House One More Heart at TSUKIJI 1,yes,no,yes,no,no,yes,yes,no,no,no
716,karaksa hotel premier Tokyo Ginza,yes,no,yes,no,no,yes,yes,no,no,no
717,Tokyo Aoto House,yes,yes,yes,no,no,yes,no,no,no,no
718,HOTEL EXE (Adult Only),yes,no,yes,no,no,yes,yes,no,no,no
719,PLAYSIS East Tokyo,yes,yes,yes,no,no,yes,yes,no,no,no
720,Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,yes,yes,yes,no,no,yes,yes,Buffet,no,no
721,Numero Uno Tokyo,yes,no,yes,no,no,yes,no,no,no,no
722,Smi:re Stay Oshiage,yes,yes,yes,no,yes,yes,yes,no,no,no
723,Shibuya Stream Excel Hotel Tokyu,yes,no,yes,no,yes,yes,yes,Continental, Vegetarian, American
724,Hotel SAILS,yes,yes,yes,no,no,yes,yes,no,no,no
725,MIMARU TOKYO NIHOMBASHI SUITENGUMAE,yes,yes,yes,no,no,yes,yes,no,no,no
726,Artist Hotel - BnA STUDIO Akihabara,yes,yes,yes,no,no,yes,yes,no,no,no
727,APA Hotel Nihombashi Bakurocho Eki-Kita,yes,no,yes,no,no,yes,yes,Buffet,no,no
728,Mitsui Garden Hotel Otemachi - Tokyo,yes,no,yes,no,no,yes,yes,no,no,no
729,City Hideout,yes,no,yes,no,no,yes,yes,no,no,no
730,MIMARU TOKYO AKASAKA,yes,yes,yes,no,no,yes,yes,no,no,no
731,Candeo Hotels Tokyo Shimbashi,yes,no,yes,no,no,yes,yes,Continental,no,no
732,Stay SAKURA Tokyo Asakusa Townhouse,yes,yes,yes,no,no,yes,no,no,no,no
733,Hyatt Centric Ginza Tokyo,yes,no,yes,no,yes,yes,yes,Buffet,no,no
734,Tokyu Stay Takanawa,yes,no,yes,no,yes,yes,yes,Vegetarian, Asian, American
735,HOTEL PERRIER (Adult Only),yes,no,yes,no,no,yes,yes,no,no,no
736,bmj Shinjuku Okubo,yes,no,yes,no,no,yes,no,no,no,no
737,Hotel Il Fiore Kasai,yes,yes,yes,no,no,yes,yes,no,no,no
738,APA Hotel Iidabashi-Eki Minami,yes,no,yes,no,no,yes,yes,no,no,no
739,Guest House Wagokoro,yes,yes,yes,no,no,yes,yes,no,no,no
740,Randor Residence Tokyo Suites,yes,yes,yes,no,no,yes,yes,no,no,no
741,TRUNK (HOTEL),yes,no,yes,yes,yes,yes,yes,American,no,no
742,Ascott Marunouchi Tokyo,yes,no,yes,no,no,yes,yes,Asian, American,no
743,Hotel Axas Nihonbashi,yes,yes,yes,no,no,yes,yes,no,no,no
744,Randor Residence Tokyo Classic,yes,yes,yes,no,no,yes,yes,no,no,no
745,Sotetsu Fresa Inn Ginza-Nanachome,yes,yes,yes,no,no,yes,yes,no,no,no
746,Araiya Tokyo,yes,yes,yes,no,no,yes,no,Continental, Asian,no
747,Hotel Allamanda Aoyama Tokyo,yes,no,yes,yes,yes,yes,yes,Continental, Full English/Irish, Vegetarian
748,ibis Styles Tokyo Ginza,yes,no,yes,no,no,yes,yes,Asian, American,no
749,"The Prince Gallery Tokyo Kioicho, a Luxury Collection Hotel",yes,no,yes,yes,yes,yes,yes,no,no,no
750,Sheena To Ippei,yes,no,yes,no,yes,yes,no,no,no,no
751,HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only),yes,no,yes,no,yes,yes,yes,no,no,no
752,Oakwood Premier Tokyo,yes,yes,yes,no,yes,yes,yes,Continental,no,no
753,ibis Styles Tokyo Ginza,yes,no,yes,no,no,yes,yes,Asian, American,no
754,"The Prince Gallery Tokyo Kioicho, a Luxury Collection Hotel",yes,no,yes,yes,yes,yes,yes,no,no,no
755,Sheena To Ippei,yes,no,yes,no,yes,yes,no,no,no,no
756,HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only),yes,no,yes,no,yes,yes,yes,no,no,no
757,Oakwood Premier Tokyo,yes,yes,yes,no,yes,yes,yes,Continental,no,no
758,Tokyu Stay Ginza,yes,no,yes,no,no,yes,yes,Continental,no,no
759,Richmond Hotel Premier Asakusa International,yes,no,yes,no,no,yes,yes,Continental, Asian, American
760,Hotel New Otani Tokyo EXECUTIVE HOUSE ZEN,yes,no,yes,no,yes,yes,yes,Continental, American,no
761,Tokyu Stay Shinjuku,yes,no,yes,no,yes,yes,yes,Continental,no,no
762,APA Hotel Higashi Shinjuku Kabukicho,yes,no,yes,no,no,no,yes,Asian, American,no
763,Richmond Hotel Tokyo Suidobashi,yes,no,yes,no,no,yes,yes,American,no,no
764,JR Kyushu Hotel Blossom Shinjuku,yes,no,yes,no,no,yes,yes,Buffet,no,no
765,Courtyard by Marriott Tokyo Station,yes,no,yes,no,yes,yes,yes,American,no,no
766,The Gate Hotel Asakusa Kaminarimon by Hulic,yes,no,yes,no,yes,yes,yes,Continental, American,no
767,Grand Hyatt Tokyo,yes,no,yes,yes,yes,yes,yes,Vegetarian, American,no
768,Palace Hotel Tokyo,yes,no,yes,no,yes,yes,yes,Continental,no,no
769,Roppongi Hotel S,yes,no,yes,no,yes,yes,yes,Buffet,no,no
770,"InterContinental Tokyo Bay, an IHG Hotel",yes,no,yes,yes,yes,yes,yes,Continental, Vegetarian, Vegan
771,Tokyu Stay Monzen-Nakacho,no,no,yes,no,no,yes,yes,Continental, Asian,no
772,Sotetsu Fresa Inn Nihombashi-Ningyocho,no,no,yes,no,no,yes,yes,Asian, American,no
773,Tokyu Stay Suidobashi,no,no,yes,no,no,yes,yes,Breakfast to go,no,no
774,Tokyu Stay Shibuya Shin-Minamiguchi,yes,no,yes,no,no,yes,yes,no,no,no
775,B:CONTE Asakusa,no,no,yes,no,yes,yes,yes,Continental,no,no
776,Tokyu Stay Shibuya,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
777,Solaria Nishitetsu Hotel Ginza,yes,no,yes,no,no,yes,yes,no,no,no
778,Four Seasons Hotel Tokyo at Marunouchi,yes,no,yes,yes,yes,yes,yes,Continental, American,no
779,Citadines Shinjuku Tokyo,yes,yes,yes,no,no,yes,yes,no,no,no
780,Annex Katsutaro Ryokan,yes,yes,yes,no,no,yes,yes,American,no,no
781,Tokyu Stay Yoga,no,yes,yes,no,no,yes,yes,no,no,no
782,Tokyu Stay Tsukiji,yes,no,yes,no,yes,yes,yes,Asian, American,no
783,Tokyu Stay Yotsuya Shinjuku,no,no,yes,no,no,yes,yes,no,no,no
784,Tokyu Stay Nihombashi,no,no,yes,no,no,yes,yes,American,no,no
785,Ueno First City Hotel,yes,yes,yes,no,no,yes,yes,Asian,no,no
786,Urbain Tokyo Haneda Kamata,yes,yes,yes,no,no,yes,yes,no,no,no
787,Tokyu Stay Gotanda,no,no,yes,no,no,yes,yes,Asian, American,no
788,Tokyu Stay Aoyama Premier,no,no,yes,no,no,yes,yes,American,no,no
789,THE KITANO HOTEL TOKYO,yes,no,yes,no,yes,yes,yes,Continental, American,no
790,Hotel Metropolitan Tokyo Marunouchi,yes,no,yes,no,no,yes,yes,no,no,no
791,Sotetsu Fresa Inn Higashi Shinjuku,yes,no,yes,no,yes,yes,yes,Continental, American,no
792,The Capitol Hotel Tokyu,yes,no,yes,yes,yes,yes,yes,no,no,no
793,Sakura Hotel Ikebukuro,yes,yes,yes,no,yes,yes,yes,Continental,no,no
794,"The Ritz-Carlton, Tokyo",yes,no,yes,yes,yes,yes,yes,Continental, American,no
795,the b ikebukuro,yes,no,yes,no,no,yes,yes,Buffet,no,no
796,Keio Plaza Hotel Tokyo,yes,yes,yes,yes,yes,yes,yes,Continental, American,no
797,Shiba Park Hotel,yes,yes,yes,no,yes,yes,yes,Buffet,no,no
798,Park Hyatt Tokyo,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Asian
799,"The Strings by InterContinental, Tokyo, an IHG Hotel",yes,no,yes,yes,yes,yes,yes,Continental, Vegetarian, Vegan
800,Hotel New Otani Tokyo The Main,yes,no,yes,yes,yes,yes,yes,Continental, American,no
801,Hilton Tokyo Hotel,no,no,yes,yes,yes,yes,yes,Continental, American,no
802,"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",yes,yes,yes,yes,yes,yes,yes,Continental, American,no
803,Park Hotel Tokyo,yes,no,yes,yes,yes,yes,yes,Asian, American,no
804,Conrad Tokyo,no,no,yes,no,yes,yes,yes,Continental, Asian, American
805,"ANA InterContinental Tokyo, an IHG Hotel",yes,no,yes,yes,yes,yes,yes,Buffet,no,no
806,Mercure Tokyo Ginza,yes,yes,yes,no,no,yes,yes,Continental, American,no
807,JR-East Hotel Mets Omori,yes,no,yes,no,no,no,no,no,no,no
808,Rhodes Kagurazaka,yes,yes,yes,no,no,yes,yes,no,no,no
809,Designers Hotel Siesta,yes,no,yes,no,no,yes,yes,no,no,no
810,Serendipity Kinshicho,yes,no,no,no,no,yes,yes,no,no,no
811,Urbain Tokyo Ueno Kitasenju,yes,no,yes,no,no,yes,yes,no,no,no
812,Ueno Woo Hotel,yes,yes,yes,no,no,yes,yes,no,no,no
813,Economy Hotel Hoteiya,yes,no,yes,no,no,yes,yes,no,no,no
814,Almont Hotel Nippori,no,no,yes,no,no,yes,yes,no,no,no
815,Via Inn Higashiginza,no,no,no,no,no,no,no,no,no,no
816,HOTEL LiVEMAX Asakusa-Ekimae,yes,no,yes,no,no,yes,no,no,no,no
817,Hotel Kizankan,yes,yes,yes,no,no,yes,yes,Asian, American,no
818,Kimi Ryokan,yes,no,yes,no,no,yes,yes,no,no,no
819,R knowledge Ryogoku BLDG,yes,no,yes,no,no,yes,no,no,no,no
820,Rembrandt Cabin Shinjuku Shin-Okubo,no,no,yes,no,no,yes,yes,no,no,no
821,Oyado danran 団欒,yes,yes,no,no,no,yes,yes,no,no,no
822,HEISIEI HOUSE Shin-Ōkubo FREE pocket WIFI,yes,yes,yes,no,no,yes,no,no,no,no
823,近晴空塔、東京、新宿、浅草橋、秋葉原、上野、商业街、居酒屋。可做饭套房，距駅9分,yes,no,no,no,no,yes,no,no,no,no
824,TOKIO's HOTEL,yes,yes,yes,no,no,yes,yes,Breakfast to go,no,no
825,Super Hotel Premier Tokyo Station Yaesu-Chuoguchi,no,no,yes,no,no,yes,yes,no,no,no
826,Minn Machiya,yes,yes,yes,no,no,yes,yes,no,no,no
827,Shinjuku Kuyakusho-mae Capsule Hotel,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
828,SHINJUKU WARM VILLA I,yes,yes,yes,no,no,yes,no,no,no,no
829,5LDK3toilets: 最近の駅6分・スカイツリー電車1分・浅草電車4分・NRT電車60分,yes,no,no,no,no,yes,no,no,no,no
830,Marunouchi Hotel,yes,no,yes,yes,yes,yes,yes,Continental, Asian, American
831,OK building,no,no,yes,no,no,yes,no,no,no,no
832,Hotel Sunroute Ginza,yes,no,yes,no,no,yes,yes,Buffet,no,no
833,VILLETTINA ASAKUSA,yes,no,yes,no,no,yes,no,no,no,no
834,Hotel Villa Fontaine Tokyo-Nihombashi Hakozaki,no,no,yes,no,no,yes,yes,no,no,no
835,和風客棧,yes,no,yes,no,no,no,no,no,no,no
836,HOTEL AMANEK Shinjuku Kabukicho,yes,no,yes,no,no,yes,yes,Continental, American,no
837,NOZOMIO PREMIER Meidaimae,yes,no,yes,no,no,yes,yes,no,no,no
838,City Hotel Southern Cross,yes,no,no,no,no,yes,yes,no,no,no
839,民泊BNBー秋葉原や浅草が徒歩圏ですー無料WiFi,yes,no,yes,no,no,no,no,no,no,no
840,do-c Gotanda,yes,no,yes,no,no,yes,yes,Continental,no,no
841,KIN HOTEL,yes,no,yes,no,no,yes,yes,no,no,no
842,shinjuku1,yes,no,yes,no,no,yes,yes,no,no,no
843,Mitsui Garden Hotel Kyobashi - Tokyo Station,yes,no,yes,no,no,yes,yes,no,no,no
844,秋の旅館 秋叶原 Tokyo Akihabara,yes,yes,yes,no,no,yes,no,no,no,no
845,ゲストハウス昴,yes,no,no,no,no,no,no,no,no,no
846,Toyoko Inn Tokyo Ikebukuro Kita-guchi No.1,yes,no,yes,no,yes,no,no,Asian,no,no
847,&AND HOSTEL ASAKUSA KAPPABASHI,yes,no,yes,no,no,yes,yes,no,no,no
848,都電屋 TodenHotel,yes,no,yes,no,yes,yes,yes,no,no,no
849,新宿サンパークホテル,yes,no,yes,no,no,yes,yes,Continental,no,no
850,Tosei Hotel Cocone Asakusa,yes,yes,yes,no,no,no,no,no,no,no
851,Skytree & Asakusa Easy Access Bell Flat Inn #2,yes,no,no,no,no,yes,no,no,no,no
852,Shinjuku! Hayashi House 3P Free poket Wi-fi!,yes,no,no,no,no,yes,yes,no,no,no
853,SHINJUKU WARM VILLA I,yes,yes,yes,no,no,yes,no,no,no,no
854,5LDK3toilets: 最近の駅6分・スカイツリー電車1分・浅草電車4分・NRT電車60分,yes,no,no,no,no,yes,no,no,no,no
855,Marunouchi Hotel,yes,no,yes,yes,yes,yes,yes,Continental, Asian, American
856,OK building,no,no,yes,no,no,yes,no,no,no,no
857,Hotel Sunroute Ginza,yes,no,yes,no,no,yes,yes,Buffet,no,no
858,VILLETTINA ASAKUSA,yes,no,yes,no,no,yes,no,no,no,no
859,Hotel Villa Fontaine Tokyo-Nihombashi Hakozaki,no,no,yes,no,no,yes,yes,no,no,no
860,和風客棧,yes,no,yes,no,no,no,no,no,no,no
861,HOTEL AMANEK Shinjuku Kabukicho,yes,no,yes,no,no,yes,yes,Continental, American,no
862,NOZOMIO PREMIER Meidaimae,yes,no,yes,no,no,yes,yes,no,no,no
863,City Hotel Southern Cross,yes,no,no,no,no,yes,yes,no,no,no
864,民泊BNBー秋葉原や浅草が徒歩圏ですー無料WiFi,yes,no,yes,no,no,no,no,no,no,no
865,do-c Gotanda,yes,no,yes,no,no,yes,yes,Continental,no,no
866,KIN HOTEL,yes,no,yes,no,no,yes,yes,no,no,no
867,shinjuku1,yes,no,yes,no,no,yes,yes,no,no,no
868,Mitsui Garden Hotel Kyobashi - Tokyo Station,yes,no,yes,no,no,yes,yes,no,no,no
869,ゲストハウス昴,yes,no,no,no,no,no,no,no,no,no
870,Toyoko Inn Tokyo Ikebukuro Kita-guchi No.1,yes,no,yes,no,yes,no,no,Asian,no,no
871,&AND HOSTEL ASAKUSA KAPPABASHI,yes,no,yes,no,no,yes,yes,no,no,no
872,都電屋 TodenHotel,yes,no,yes,no,yes,yes,yes,no,no,no
873,新宿サンパークホテル,yes,no,yes,no,no,yes,yes,Continental,no,no
874,Tosei Hotel Cocone Asakusa,yes,yes,yes,no,no,no,no,no,no,no
875,Skytree & Asakusa Easy Access Bell Flat Inn #2,yes,no,no,no,no,yes,no,no,no,no
876,Shinjuku! Hayashi House 3P Free poket Wi-fi!,yes,no,no,no,no,yes,yes,no,no,no
877,SG Premium KASAI,yes,no,no,no,no,yes,yes,no,no,no
878,Cypressinn Tokyo,yes,no,yes,no,no,yes,yes,no,no,no
879,Hotel Abest Meguro,yes,no,yes,no,no,yes,yes,no,no,no
880,UIHOME HOTEL Ikebukuro 池袋,yes,no,yes,no,no,yes,yes,no,no,no
881,HOTEL LiVEMAX Tokyo Kanda-Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
882,Hotel Wing International Select Asakusa Komagata,yes,no,yes,no,no,no,yes,Continental,no,no
883,"Far East Village Hotel Tokyo, Asakusa",yes,no,yes,no,no,no,yes,no,no,no
884,ビジネスカプセルホテル Lightning Hotel浅草,yes,yes,yes,no,no,no,yes,no,no,no
885,Hotel Siena,yes,no,no,no,yes,yes,yes,no,no,no
886,Tokyu Stay Shimbashi - Ginza area,yes,no,yes,no,no,yes,yes,Asian, American,no
887,Centurion Hotel&Spa Ueno Station,yes,no,yes,no,no,yes,yes,no,no,no
888,Hotel Palace Japan,yes,yes,no,no,no,yes,yes,no,no,no
889,HOTEL LiVEMAX BUDGET Shinbashi,no,no,no,no,no,yes,no,no,no,no
890,Inn The Omotesando,yes,no,yes,no,no,yes,yes,no,no,no
891,Marroad Inn Akasaka,yes,no,yes,no,no,yes,yes,no,no,no
892,ICE MOUNTAIN GUEST HOUSE,yes,no,no,no,yes,yes,no,Asian, American,no
893,HOTEL LiVEMAX BUDGET Korakuen,no,no,yes,no,no,yes,yes,no,no,no
894,HOTEL MYSTAYS Ueno Inaricho,yes,no,yes,no,no,yes,yes,no,no,no
895,Shinjuku City Hotel N.U.T.S Tokyo,yes,yes,yes,no,no,yes,yes,Continental,no,no
896,HOTEL LiVEMAX Asakusabashi-Ekimae,no,no,no,no,no,yes,yes,no,no,no
897,Hotel Empire in Shinjuku,no,yes,yes,no,no,yes,yes,no,no,no
898,HISAYO'S INN,yes,yes,yes,no,no,yes,no,no,no,no
899,HOTEL SUI AKASAKA by ABEST,yes,no,yes,no,no,yes,yes,no,no,no
900,Keio Presso Inn Tokyo Station Yaesu,yes,no,yes,no,no,yes,yes,Buffet,no,no
901,"InterContinental Berlin, an IHG Hotel",yes,yes,yes,no,yes,yes,yes,Continental, Full English/Irish, Vegetarian
902,"Regent Berlin, an IHG Hotel",yes,yes,yes,no,yes,yes,yes,Vegetarian, Vegan, Gluten-free
903,Hotel AMO by AMANO Friedrichstraße,yes,no,yes,no,yes,yes,yes,Vegetarian, Vegan, Gluten-free
904,a&o Berlin Hauptbahnhof,yes,yes,yes,no,yes,yes,yes,Continental,no,no
905,"Hotel Berlin, Berlin, a member of Radisson Individuals",yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
906,"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",yes,yes,yes,no,yes,yes,yes,Continental,no,no
907,DoubleTree by Hilton Berlin Ku'damm,yes,no,yes,no,yes,yes,yes,Continental, Vegetarian, Gluten-free
908,Generator Berlin Mitte,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian,no
909,Precise Tale Berlin Potsdamer Platz,yes,yes,yes,no,yes,yes,yes,Continental,no,no
910,Generator Berlin Alexanderplatz,yes,yes,yes,no,yes,yes,yes,Continental, Italian, Vegetarian
911,Motel One Berlin-Tiergarten,yes,no,yes,no,yes,yes,yes,Continental,no,no
912,B&B Hotel Berlin City-Ost,yes,no,yes,no,no,yes,yes,Continental, Vegetarian,no
913,Premier Inn Berlin Airport,yes,yes,yes,no,yes,yes,yes,Full English/Irish, Vegetarian,no
914,Park Inn by Radisson Berlin Alexanderplatz,yes,no,yes,yes,yes,yes,yes,Continental, Italian, Full English/Irish
915,Scandic Berlin Potsdamer Platz,yes,yes,yes,no,yes,yes,yes,Vegetarian, Vegan, Gluten-free
916,B&B Hotel Berlin City-West,yes,yes,yes,no,no,yes,yes,Continental, Vegetarian, Gluten-free
917,MEININGER Hotel Berlin Hauptbahnhof,yes,yes,yes,no,yes,yes,yes,Continental,no,no
918,Eurostars Berlin,no,yes,yes,no,yes,yes,yes,no,no,no
919,Motel One Berlin-Bellevue,yes,no,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
920,Motel One Berlin-Spittelmarkt,yes,no,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
921,easyHotel Berlin Hackescher Markt,yes,no,yes,no,no,yes,yes,no,no,no
922,Schlosshotel Berlin by Patrick Hellmann,yes,yes,yes,no,yes,yes,yes,Continental, Full English/Irish, American
923,Hilton Berlin,yes,yes,yes,no,yes,yes,yes,Vegetarian, Vegan,no
924,ibis Styles Berlin Treptow,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Gluten-free
925,Catalonia Berlin Mitte,yes,no,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
926,Hotel AMANO Grand Central,yes,yes,yes,no,yes,yes,yes,Continental,no,no
927,Hotel AMANO Grand Central,yes,yes,yes,no,yes,yes,yes,Continental,no,no
928,Motel One Berlin Ku'Damm,yes,no,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
929,Hotel Palace Berlin,yes,yes,yes,no,yes,yes,yes,Continental, Full English/Irish, Vegetarian
930,Three Little Pigs Hostel - Your Berlin Castle,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
931,Industriepalast Berlin,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
932,aletto Hotel Kudamm,yes,yes,yes,no,yes,yes,yes,Continental, Buffet,no
933,Best Western Plus Plaza Berlin Kurfürstendamm,yes,yes,yes,no,yes,yes,yes,Continental,no,no
934,Hotel Ludwig van Beethoven,yes,no,yes,no,yes,yes,yes,Continental, Buffet,no
935,Maritim proArte Hotel Berlin,yes,yes,yes,yes,yes,yes,yes,Continental, Vegetarian,no
936,Novum Hotel Aldea Berlin Centrum,yes,yes,yes,no,no,yes,yes,Vegetarian,no,no
937,Hotel Atlantic,yes,no,yes,no,no,yes,yes,no,no,no
938,Mercure Hotel Berlin Tempelhof,yes,yes,yes,no,yes,yes,yes,Vegetarian, Vegan, Gluten-free
939,Schulz Hotel Berlin Wall at the East Side Gallery,yes,yes,yes,no,yes,yes,yes,Continental, Italian, Full English/Irish
940,Steigenberger Hotel Am Kanzleramt,yes,yes,yes,no,yes,yes,yes,Continental, Full English/Irish, Vegetarian
941,Park Plaza Berlin,yes,no,yes,no,no,yes,yes,Continental,no,no
942,Leonardo Hotel Berlin Mitte,yes,no,yes,no,yes,yes,yes,Buffet,no,no
943,H+ Hotel 4Youth,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
944,Riu Plaza Berlin,yes,yes,yes,no,yes,yes,yes,Continental,no,no
945,Hampton By Hilton Berlin City East Side Gallery,yes,no,yes,no,yes,yes,yes,Continental, American, Buffet
946,Hampton by Hilton Berlin City Centre Alexanderplatz,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
947,BlnCty Hotel,yes,yes,yes,no,yes,yes,no,no,no,no
948,JW Marriott Hotel Berlin,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
949,Waldorf Astoria Berlin,yes,yes,yes,no,yes,yes,yes,Continental, Halal, Gluten-free
950,Comfort Hotel Lichtenberg,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
951,Essential by Dorint Berlin-Adlershof,yes,no,yes,no,yes,yes,yes,Continental, Buffet,no
952,MEININGER Hotel Berlin Airport,yes,yes,yes,no,yes,yes,yes,Continental,no,no
953,Berlin Marriott Hotel,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, Vegan
954,Michelberger Hotel,yes,yes,yes,no,yes,yes,yes,Vegetarian, Vegan, Gluten-free
955,Novum Hotel Kronprinz Berlin,yes,no,yes,no,no,yes,yes,Continental,no,no
956,Space Night Capsule Hostel,yes,no,no,no,no,no,yes,no,no,no
