sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
67,Shinagawa Tobu Hotel,yes,yes,yes,no,no,yes,yes,American,no,no
68,Hotel Sting,yes,no,no,no,no,yes,yes,no,no,no
69,Quintessa Hotel Tokyo Ginza,yes,no,yes,no,no,yes,yes,Continental,no,no
70,KOKO HOTEL Premier Nihonbashi Hamacho,yes,no,yes,no,no,yes,yes,no,no,no
71,APA Hotel Asakusa Kuramae Ekimae,no,no,yes,no,no,yes,yes,American,no,no
72,Tokyo Prince Hotel,yes,no,yes,yes,yes,yes,yes,American,no,no
73,【駅から徒歩1分】徒歩で新大久保駅2分・大久保駅1分圏内/新宿まで電車で5分,yes,no,no,no,no,yes,no,no,no,no
74,APA Hotel Ueno Hirokoji,yes,no,yes,no,no,yes,yes,no,no,no
75,APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,yes,no,yes,no,no,yes,yes,American,no,no
76,APA Hotel Asakusa Kuramae Kita,yes,no,yes,no,no,yes,yes,Buffet,no,no
77,L stay & grow Minami Sunamachi,no,no,yes,no,no,no,no,no,no,no
78,hotel MONday Haneda Airport,yes,no,yes,no,no,yes,yes,Continental,no,no
79,Far East Village Hotel Tokyo Ariake,yes,no,yes,no,no,yes,yes,Continental,no,no
80,The Peninsula Tokyo,yes,yes,yes,no,yes,yes,yes,Continental, Vegetarian, American
81,Hotel Graphy Nezu,yes,no,yes,no,yes,yes,yes,American,no,no
82,APA Hotel Ueno Inaricho Ekikita,yes,no,yes,no,no,yes,yes,no,no,no
83,Shinjuku Washington Hotel,yes,no,yes,yes,no,yes,yes,Continental, Asian, American
84,Super Hotel Tokyo Otsuka,yes,no,yes,no,no,yes,yes,Continental, Asian, American
85,APA Hotel Keikyu Kamata-Ekimae,yes,no,yes,no,no,yes,yes,Asian, American,no
86,Super Hotel JR Ueno Iriyaguchi,no,no,yes,no,yes,no,yes,Buffet,no,no
87,HOTEL MYSTAYS Hamamatsucho,yes,no,yes,no,no,yes,yes,no,no,no
88,Toyoko Inn Tokyo Akiba Asakusabashi-eki Higashi-guchi,yes,no,yes,no,no,yes,no,Asian,no,no
89,HOTEL MYSTAYS Asakusabashi,yes,no,yes,no,no,yes,yes,no,no,no
90,Ryogoku View Hotel,yes,yes,yes,no,no,yes,yes,no,no,no
91,APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,yes,no,yes,no,no,yes,yes,Full English/Irish, American,no
