sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
41,APA Hotel & Resort Ryogoku Eki Tower,Tokyo,"130-0015 Tokyo-to, Sumida-ku Yokoami 1-11-10, Japan",4632,8.3,3,Very good
42,The Prince Park Tower Tokyo,Tokyo,"105-8563 Tokyo-to, Minato-ku, Shiba Koen 4-8-1 , Japan",1531,8.9,5,Fabulous
43,Villa Fontaine Grand Haneda Airport,Tokyo,"144-0041 Tokyo-to, Ota-ku Haneda Airport 2-7-1, Japan",3506,8.3,4,Very good
44,Hotel JAL City Haneda Tokyo West Wing,Tokyo,"144-0042 Tokyo-to, Asahi-cho 4-16, Haneda , Japan",1844,8.4,4,Very good
45,Shinjuku Granbell Hotel,Tokyo,"160-0021 Tokyo-to, Shinjuku-ku Kabukicho 2-14-5, Japan",2497,7.9,4,Good
46,APA Hotel Shinjuku-Kabukicho Tower,Tokyo,"160-0021 Tokyo-to, Shinjuku-ku, Kabukicho 1-20-2, Japan",3216,7.6,3,Good
47,Hotel Tokyo Trip Ueno Nishi Nippori,Tokyo,"116-0013 Tokyo-to, Arakawa-ku, Nishinippori 5-18-14, Japan",1544,8.1,3,Very good
48,Toyoko Inn Tokyo Monzen-nakacho Eitaibashi,Tokyo,"135-0034 Tokyo-to, Koto-ku Eitai 1-15-3, Japan",1257,7.7,3,Good
49,The Royal Park Hotel Iconic Tokyo Shiodome,Tokyo,"105-8333 Tokyo-to, Minato-ku, Higashishimbashi 1-6-3, Japan",5050,8.7,4,Fabulous
50,Sotetsu Fresa Inn Tokyo Roppongi,Tokyo,"106-0032 Tokyo-to, Minato-ku, Roppongi 3-10-1, Japan",2431,8.1,3,Very good
51,hotel MONday Asakusa,Tokyo,"111-0032 Tokyo-to, Taito-ku Asakusa 2-26-7, Japan",1414,8.5,3,Very good
52,Tokyo Guest House Ouji Music Lounge,Tokyo,"114-0023 Tokyo-to, Kita-ku Takinogawa 2-4-17, Japan",1186,7.8,2,Good
53,Toyoko Inn Omori,Tokyo,"143-0016 Tokyo-to, Ota-ku Omori -kita 1-23-8 , Japan",454,7.6,3,Good
54,Dormy Inn EXPRESS Asakusa,Tokyo,"111-0033 Tokyo-to, Taito-ku, Hanakawado 1-3-4, Japan",405,8.0,3,Very good
55,Tmark City Hotel Tokyo Omori,Tokyo,"143-0011 Tokyo-to, Ota-ku Omorihoncho 1-2-10, Japan",921,8.4,4,Very good
56,Toyoko Inn Tokyo Akabane-eki Higashi-guchi,Tokyo,"115-0045 Tokyo-to, Kita-ku Akabane 1-11-11, Japan",1144,7.9,3,Good
57,Chang Tee Hotel Ikebukuro,Tokyo,"171-0014 Tokyo-to, Toshima-ku, Ikebukuro 2-32-4, Japan",90,7.5,2,Good
58,plat hostel keikyu haneda home,Tokyo,"144-0043 Tokyo-to, Ota-ku Haneda 5-23-5, Japan",1399,8.4,1,Very good
59,Hotel Monterey Akasaka,Tokyo,"107-0052 Tokyo-to, Minato-ku, Akasaka 4-9-24, Japan",1170,8.3,4,Very good
60,APA Hotel TKP Nippori Ekimae,Tokyo,"116-0014 Tokyo-to, Higashi-Nippori 5-52-9, Japan",1151,8.1,3,Very good
61,Tokyo Bay Shiomi Prince Hotel,Tokyo,"135-0052 Tokyo-to, Koto-ku Shiomi 2-8-16, Japan",4007,9.1,4,Superb
62,Red Roof Inn Kamata / Haneda Tokyo,Tokyo,"144-0051 Tokyo-to, Ota-ku Nishikamata 7-24-7, Japan",1283,7.8,3,Good
63,E Hotel Higashi Shinjuku,Tokyo,"160-0021 Tokyo-to, Shinjuku-ku, Kabukicho 2-3-15, Japan",1534,7.3,3,Good
64,Akabane Holic Hotel,Tokyo,"115-0045 Tokyo-to, Kita-ku, Akanabe 1-4-4, Japan",1268,8.5,3,Very good
65,Grand Prince Hotel Takanawa,Tokyo,"108-8612 Tokyo-to, Minato-ku, Takanawa 3-13-1, Japan",1239,8.3,4,Very good
66,KOKO HOTEL Ginza-1chome,Tokyo,"104-0061 Tokyo-to, Chuo-ku Ginza1-9-5, Japan",4336,8.2,3,Very good
67,Shinagawa Tobu Hotel,Tokyo,"108-0074 Tokyo-to, Minato-ku Takanawa 4-7-6, Japan",2875,7.8,3,Good
68,Hotel Sting,Tokyo,"111-0032 Tokyo-to, Taito-ku Asakusa 2-25-5, Japan",122,7.3,1,Good
69,Quintessa Hotel Tokyo Ginza,Tokyo,"104-0061 Tokyo-to, Chuo-ku Ginza 4-11-4, Japan",1988,8.2,3,Very good
70,KOKO HOTEL Premier Nihonbashi Hamacho,Tokyo,"103-0007 Tokyo-to, Chuo-ku Nihonbashihamacho 2-30-4, Japan",863,8.6,4,Fabulous
