sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
1511,Hotel Neu Villa - Walk In from New Delhi Railway Station,New Delhi,"1719 Lakshmi Narayan Street, Paharganj, 110055 New Delhi, India",38,7.7,4,Good
1512,Hotel Select City Inn,New Delhi,"167/8 A, opposite Select City Walk Mall, Khirki Extension, Malviya Nagar, , Delhi, Saket, 110017 New Delhi, India",57,8.1,4,Very good
1513,FabHotel Heaven In,New Delhi,"C- 30, Hansraj Gupta Rd, Greater Kailash-1, C Block, Greater Kailash I, Greater Kailash 1, 110048 New Delhi, India",48,6.5,5,Pleasant
1514,Hotel Yes Please Lodge,New Delhi,"General Market Main Bazar Road, Paharganj, 110055 New Delhi, India",164,4.3,5,Disappointing
1515,Taurus Sarovar Portico,New Delhi,"IGI Airport Road, N.H-08, Mahipalpur Extn., Mahipalpur, 110037 New Delhi, India",204,5.8,3,Passable
1516,Yes Boss By Backpackers Heaven Near New Delhi Train Station,New Delhi,"875 Gali Chandi Wali Mani Bazar Paharganj New Delhi, Paharganj, 110055 New Delhi, India",1219,7.8,3,Good
1517,Heistel Delhi,New Delhi,"123/1, Saidulajaib, Near Saket Metro gate no. 2 MB Road , opp. Saket D block, Saket, 110030 New Delhi, India",527,7.9,4,Good
1518,Hotel Imperial Inn - Nehru Enclave,New Delhi,"CC28, Nehru Enclave Opp Modi Tower Kalkaji ji New Delhi, 110019 New Delhi, India",35,8.5,3,Very good
1519,Radisson Blu Marina Hotel Connaught Place,New Delhi,"G-59, Connaught Place, Connaught Place, 110001 New Delhi, India",1594,7.2,3,Good
1520,Iconic Stay Delhi Airport,New Delhi,"Plot no a-96, Iconic Stay, Gali no 7, Road No 4, Mahipalpur A block., Mahipalpur, 110037 New Delhi, India",10,9.6,3,Exceptional
1521,Frankstay By Hotel SAMRAT RESIDENCY 10 Mints Walking Distance Nizamuddin Railway Station,New Delhi,"707 Jangpura Road 3, 110014 New Delhi, India",42,8.5,3,Very good
1522,"Airport Hotel Grand, New Delhi",New Delhi,"L-73, NH-8, Near IGI Airport, New Delhi - 110037 , Mahipalpur, 110037 New Delhi, India",640,7.9,3,Good
1523,Yana's B&B,New Delhi,"Plot no .322/1,first floor, Near by A-48 south extension, New Delhi , 110049 First Floor, 110049 New Delhi, India",4,7.5,3,Good
1524,The Leela Ambience Convention Hotel Delhi,New Delhi,"1,CBD, Maharaja Surajmal Road,  near Yamuna Sports Complex,, 110032 New Delhi, India",1533,8.5,3,Very good
1525,"Taj Mahal, New Delhi",New Delhi,"No 1 Mansingh Road, 110011 New Delhi, India",480,8.9,3,Fabulous
1526,Hotel Royal Plaza Rohini Sec 16 Near D T U,New Delhi,"I-6/18,Sec 16 Rohini Delhi, Rohini, 110089 New Delhi, India",2,10.0,3,Exceptional
1527,"Hotel Shivdev International, Near New Delhi Railway Station",New Delhi,"8522, Arakashan Road Behind Sheila Cinema, Paharganj, Delhi, Paharganj, 110055 New Delhi, India",1820,7.2,4,Good
1528,Hotel Marina A Family Hotel Near IGI Airport BY AR,New Delhi,"A117 road no 4 Mahipalpur new delhi, 110037 New Delhi, India",125,7.3,3,Good
1529,Roomshala 124 Royal inn Rohini,New Delhi,"House No 37 Floor 1ST Block- E PKT 4 SEC 16 LANDMARK Near Jai Mata Property Rohini New Dehli 110085 1st floor, Rohini, 110085 New Delhi, India",20,9.0,3,Superb
1530,Hotel The Magic Tree - Paharganj New Delhi,New Delhi,"1826/1827, Lakshmi Narayan Street, Chuna Mandi, Paharganj, Paharganj, 110055 New Delhi, India",129,7.4,3,Good
1531,Hotel Blue Pearl,New Delhi,"8653-8664, Arakashan Road, PaharGanj, Behind Mother Dairy, near St. Anthony School, Paharganj, 110055 New Delhi, India",2566,8.1,4,Very good
1532,Frankstay By Hotel Mayfair Residency 2Mints Walking Distance Near New Delhi Railway Station,New Delhi,"4209, Tel mandi Chowk, Pahar Ganj , New Delhi, Paharganj, 110055 New Delhi, India",11,9.5,2,Exceptional
1533,Novel Plaza Hotel,New Delhi,"Building No 338, Sec - 19, Dwarka, Dwarka, 110075 New Delhi, India",0,0.0,3,
1534,Roomshala 118 Hotel Acclaim 7 sky,New Delhi,"Vasant Kunj Rd, Pocket 5 Sector D, Vasant Kunj,, 110070 New Delhi, India",28,7.9,4,Good
1535,OYO Home Krishna Villa Near Lotus temple,New Delhi,"19 Bhagat Singh Market Marg, Block G 5, Delhi, 110017 New Delhi, India",3,1.0,5,Bad
1536,FabHotel Baba Residency,New Delhi,"42, Street Number 1, Ram Nagar, Paharganj, New Delhi, Paharganj, 110055 New Delhi, India",303,7.7,3,Good
1537,Hotel Shanti Palace,New Delhi,"4-A, Opp.Shadipur Metro Station, West Patel Nagar, New Delhi, Delhi 110008, 110008 New Delhi, India",0,0.0,3,
1538,THE HOTEL AMBIENCE,New Delhi,"11to 14 block 80a Krishna market paharganj 11 to14 Karishna market Paharganj, Paharganj, 110055 New Delhi, India",39,6.7,3,Pleasant
1539,"Holiday Inn Express New Delhi International Airport T3, an IHG Hotel",New Delhi,"Level 5, Terminal 3, IGI Airport, 110037 New Delhi, India",1008,6.9,3,Pleasant
1540,Hotel IP Grand Near Karkardooma Metro Station New Delhi Couple friendly,New Delhi,"2, Saini Enclave, Karkardooma Karkardooma, 110092 New Delhi, India",6,8.3,3,Very good
1541,"Roomshala 005 Tom & Jerry - Jungpura , Bhogal",New Delhi,"15, Church Rd, Jangpura, Samman Bazar, Bhogal, New Delhi, Delhi, 110014 New Delhi, India",91,6.2,3,Pleasant
1542,splash by byob 03 hotels,New Delhi,"8336, Road no -5 Multani dhanda paharganj, Paharganj, 110055 New Delhi, India",5,5.2,4,Passable
1543,Hotel Kaushal Palace,New Delhi,"1521 Sangatrashan Gali Paharganj New Delhi - 110055, Paharganj, 110055 New Delhi, India",179,7.2,3,Good
1544,Frankstay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,New Delhi,"Jangpura Road, 110014 New Delhi, India",61,8.5,3,Very good
1545,HOTEL DIAMOND STAR SUITES,New Delhi,"Kh No 548, Main, Vasant Kunj Road, Mahipalpur, Behind Icici Bank, Mahipalpur Extension, Mahipalpur, Delhi Transit, Mahipalpur, 110037, Mahipalpur, 110070 New Delhi, India",9,6.4,4,Pleasant
1546,Hotel Southern,New Delhi,"18/2, Arya Samaj Road, Karol Bagh, Karol bagh, 110005 New Delhi, India",282,6.0,4,Pleasant
1547,Hotel De Tark Near Delhi Airport,New Delhi,"2, Block A, Mahipalpur Village, Mahipalpur, 110037 New Delhi, India",86,7.8,3,Good
1548,The Leela Ambience Convention Hotel Delhi,New Delhi,"1,CBD, Maharaja Surajmal Road,  near Yamuna Sports Complex,, 110032 New Delhi, India",1533,8.5,3,Very good
1549,Hotel Sanca International Patel Nagar Delhi - Couple Friendly Local IDs Accepted,New Delhi,"13/26, EAST PATEL NAGAR OPP. Hotel Jaypee Siddharth Entry Gate, 110008 New Delhi, India",72,7.9,3,Good
1550,FabHotel Prime The Western,New Delhi,"KH.NO.389/2/2-415, RANGPURI, NH-8,DELHI-GURGAON ROAD, NEAR SHIV MURTI, South West Delhi, 110037 New Delhi, India",0,0.0,3,
1551,Hotel Aditya Inn Near New Delhi Railway Station Main Bazar,New Delhi,"857 Chandi Wali Gali Main Bazar Pahar Ganj New Delhi 110055, Paharganj, 110055 New Delhi, India",145,6.3,3,Pleasant
1552,Hotel Delhi Heart at New Delhi Railway Station,New Delhi,"3738 new delhi railway station Near exit gate no 1 opp. Shiela cinema paharganj, Paharganj, 110055 New Delhi, India",91,7.4,3,Good
1553,Deluxe Room In CR Park,New Delhi,"S/O Late S.P.Pandey K-2068 F/F New Delhi C.R.Park , 110019 New Delhi, India",45,6.6,3,Pleasant
1554,Hotel Maharaja Continental,New Delhi,"8194 Gali Number 6, Arakashan Road, Paharganj, 110055 New Delhi, India",41,4.2,3,Disappointing
1555,Hotel Tej Palace Near Delhi Airport,New Delhi,"A, 26, Road Number 2, 110037 New Delhi, India",118,7.1,3,Good
1556,Palatial Home at Anand Niketan South campus,New Delhi,"C Block Road, 110021 New Delhi, India",2,7.0,4,Good
1557,Hotel View - A Boutique Hotel,New Delhi,"HN-19/1 Bypass Road  New Delhi 110037, Mahipalpur, 110037 New Delhi, India",659,6.8,4,Pleasant
1558,The Taquila Bar and Hotels,New Delhi,"Desh Bandhu Gupta Road, Paharganj, 110055 New Delhi, India",0,0.0,4,
1559,Hotel Preet Palace -5 Mints Walk From Nizamuddin Railway Station,New Delhi,"C-1 JANGPURA B, NEAR RAJDOOT HOTEL, 110014 New Delhi, India",91,7.5,3,Good
1560,Hotel GT at Delhi Airport,New Delhi,"Old Delhi Gurgaon Road, 110037 New Delhi, India",46,6.1,3,Pleasant
1561,Hotel Ajanta,New Delhi,"8647, Arakashan Road (500 meter from New Delhi Railway Station), Paharganj, 110055 New Delhi, India",786,7.2,3,Good
1562,Home Stay in Delhi near Metro station,New Delhi,"Flat No 303 Bindapur Matiala Road Near Agarwal Sweets Matiala Road Sun Apartment, 110059 New Delhi, India",0,0.0,4,Exceptional
1563,Sarthak Palace,New Delhi,"8228-30, Gali No. 6, Arakashan Road, Multani Dhanda, Paharganj, Paharganj, 110055 New Delhi, India",428,7.9,3,Good
1564,OYO Hotel Lion,New Delhi,"A, Near Sarai Kale Khan, H.n Railways, Nagli Rajapur, Block A, Nagli Rajapur, Nizamuddin East, Delhi, 110013 New Delhi, India",69,3.2,3,Poor
1565,Badal's Nest,New Delhi,"Ch Jhandu Singh Marg, 110029 New Delhi, India",0,0.0,3,
1566,HOTEL GEESON -New Delhi Railway Station -Paharganj,New Delhi,"Desh Bandhu Gupta Road main road paharganj, Paharganj, 110055 New Delhi, India",399,7.8,3,Good
1567,Hotel Vijaydeep Palace Near Delhi Airport,New Delhi,"F-4 near mata chowk mahipalpur new delhi, Mahipalpur, 110037 New Delhi, India",38,8.2,3,Very good
1568,Hotel Chalet At Saket Near PVR Cinema,New Delhi,"E Block, 157 Near PVR Saket, 110017 New Delhi, India",31,5.8,3,Passable
1569,Hotel Raaso inn Nawada 744 By The Arrow,New Delhi,"C-1, METRO PILLAR NO.744, MOHAN GARDEN, NAWADA, NEAR NAWADA METRO, DELHI-, 110059 New Delhi, India",0,0.0,4,
1570,HOTEL GISONS INTERNATIONAL -New Delhi Railway Station,New Delhi,"66 Desh Bandhu Gupta Road, Paharganj, 110055 New Delhi, India",8,8.4,3,Very good
1571,Jyoti Mahal A Heritage Hotel - 05 Mins from New Delhi Railway Station,New Delhi,"2488/90, Nalva Street Behind imperial cinema, Paharganj, Paharganj, 110055 New Delhi, India",347,7.5,3,Good
1572,The Palm Spring a Boutique Hotel Naraina New Delhi,New Delhi,"Phase 1 Community Center, 60, Munshi Ram Gupta Marg near PVR, Naraina New Delhi, 110028 New Delhi, India",56,4.6,3,Disappointing
1573,"Premium Property In Chittaranjan Park,",New Delhi,"K206F8, Block K, EPDP Colony, Chittaranjan Park,, 110019 New Delhi, India",129,8.1,4,Very good
1574,Hotel Nature View Green Park Metro Couple Friendly New Delhi,New Delhi,"115, G/F, Arjun Nagar, Safdarjung Enclave, 110029 New Delhi, India",187,7.1,2,Good
1575,Airport Hotel IVY,New Delhi,"A34 road no 2, near IGI airport, Mahipalpur, New Delhi, 110037, 110037 New Delhi, India",645,7.5,5,Good
1576,Hotel Anand - By Srida Hotels,New Delhi,"Gali Number 10 2537/48, Chuna Mandi, Gali No 10, Paharganj, Paharganj, 110055 New Delhi, India",67,7.0,4,Good
1577,Hotel Star 17,New Delhi,"Pocket A2, Pocket B, Sector 17, Dwarka, New Delhi and NCR, Del, Dwarka, 110078 New Delhi, India",25,7.2,4,Good
1578,Hotel Amar International,New Delhi,"2024,Street No.7,Chitra Gupta Road,Near R.K.Ashram Metro Station Chuna Mandi, Paharganj, Paharganj, 110055 New Delhi, India",271,7.2,3,Good
1579,Hotel pathway near Delhi airport,New Delhi,"Road Number 4 near Gupta medical, IGI, mahipalpur, 110037 New Delhi, India",35,7.0,3,Good
1580,Hotel Soft Petal Residency - Delhi Airport,New Delhi,"K-2/659/A, Near Maruti Showroom Mahipalpur, Mahipalpur, 110037 New Delhi, India",3,7.3,4,Good
1581,SWEET IN,New Delhi,"Mahipalpur Street, Mahipalpur, 110037 New Delhi, India",2,10.0,5,Exceptional
1582,FabExpress Shine Inn,New Delhi,"H32, Pocket no 18 sector 3  Rohini Near Rajiv Gandhi Hospital Delhi, Delhi, Rohini, 110085 New Delhi, India",2,10.0,4,Exceptional
1583,A sleepy Fox,New Delhi,"B 13 Kailash Colony B 13 Kailash colony, Kailash Colony, 110048 New Delhi, India",48,8.3,4,Very good
1584,OYO Flagship Hotel Relax Vila,New Delhi,"Rz 2514/9,  Tughlakabad Extension, Delhi, 110019 New Delhi, India",0,0.0,3,
1585,The Saga Hotel,New Delhi,"W5, Arjun Nagar Near Sukhmani Hospital, Green Park, Safdarjung Enclave, 110016 New Delhi, India",160,7.4,3,Good
1586,Roomshala 041 Hotel Sky Residency - Uttam Nagar Near Metro Station,New Delhi,"Plot No - 07, 08 & 10, west, opposite metro pillar no 702, C Block, Param Puri, Uttam Nagar, 110059 New Delhi, India",17,6.2,4,Pleasant
1587,"Sarovar Portico Naraina, Hotel",New Delhi,"A 9, Naraina Vihar; New Delhi - 110028, 110028 New Delhi, India",94,6.6,5,Pleasant
1588,Hotel Town Pallace Inn Patel Nagar New Delhi,New Delhi,"BP-12, West Patel Nagar, near Metro Piller No. 220, 110008 New Delhi, India",78,7.5,3,Good
1589,FabHotel Skye Suites,New Delhi,"A-83, Rd Number-04, Block-A, NH-08, Near Indira Gandhi International Airport (Aerocity), Mahipalpur, New Delhi, Mahipalpur, 110037 New Delhi, India",6,8.7,2,Fabulous
1590,Hotel Delhi Darshan Deluxe-By RSL Hospitality,New Delhi,"8230/6, multani dhanda pharganj new delhi, Paharganj, 110055 New Delhi, India",688,7.7,3,Good
1591,Hotel Aerotech Near IGI Airport,New Delhi,"A-207 S/F, Gali-9, Road No.- 6, Mahipalpur, Near Airport, 110037 New Delhi, India",19,4.1,3,Disappointing
1592,Grand Vitara Dwarka,New Delhi,"Vipin Garden Extension Road, 110059 New Delhi, India",1,5.0,3,Passable
1593,Gurmehar's Residence,New Delhi,"D Block Road, 110092 New Delhi, India",1,9.0,5,Superb
1594,"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel",New Delhi,"13 B Mayur Vihar, District Centre, Mayur Vihar Phase 1, 110091 New Delhi, India",2378,8.2,5,Very good
1595,"Four Points by Sheraton New Delhi, Airport Highway",New Delhi,"Plot # 9, Samalka, National Highway- 8, 110037 New Delhi, India",427,7.9,3,Good
1596,Hotel Goodluck Suites Near Delhi Airport,New Delhi,"A-44 Road Np.4. Street No.9 Mahipalpur Ext. New Delhi -110037, 110037 New Delhi, India",345,7.0,3,Good
1597,Hotel Almati Suite - Near Delhi Airport,New Delhi,"98, Road Number 6 Block RZ Mahipalpur, 110037 New Delhi, India",9,8.0,3,Very good
1598,"Alluring, Affluent, Artistic Home - Vasant Kunj",New Delhi,"93 Shanti Kunj Main Road, 110070 New Delhi, India",0,0.0,3,
1599,Hotel Stay,New Delhi,"A-40 CR Park Main Road Near Market 3 A40, 110019 New Delhi, India",0,0.0,3,
1600,Hotel New City Lite Near IGI Airport Delhi,New Delhi,"A -83/243 road no 4 gali no 6 mahipalpur, 110037 New Delhi, India",246,7.1,3,Good
1601,Grand Vitara Dwarka,New Delhi,"Vipin Garden Extension Road, 110059 New Delhi, India",1,5.0,4,Passable
1602,Gurmehar's Residence,New Delhi,"D Block Road, 110092 New Delhi, India",1,9.0,3,Superb
1603,"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel",New Delhi,"13 B Mayur Vihar, District Centre, Mayur Vihar Phase 1, 110091 New Delhi, India",2378,8.2,3,Very good
1604,"Four Points by Sheraton New Delhi, Airport Highway",New Delhi,"Plot # 9, Samalka, National Highway- 8, 110037 New Delhi, India",427,7.9,5,Good
1605,Hotel Goodluck Suites Near Delhi Airport,New Delhi,"A-44 Road Np.4. Street No.9 Mahipalpur Ext. New Delhi -110037, 110037 New Delhi, India",345,7.0,3,Good
1606,Hotel Almati Suite - Near Delhi Airport,New Delhi,"98, Road Number 6 Block RZ Mahipalpur, 110037 New Delhi, India",9,8.0,3,Very good
1607,"Alluring, Affluent, Artistic Home - Vasant Kunj",New Delhi,"93 Shanti Kunj Main Road, 110070 New Delhi, India",0,0.0,3,
1608,Hotel Stay,New Delhi,"A-40 CR Park Main Road Near Market 3 A40, 110019 New Delhi, India",0,0.0,5,
1609,Hotel New City Lite Near IGI Airport Delhi,New Delhi,"A -83/243 road no 4 gali no 6 mahipalpur, 110037 New Delhi, India",246,7.1,4,Good
1610,Zostel Delhi,New Delhi,"5, Arakashan Road, Near New Delhi Railway Station, New Delhi, Delhi 110005, Paharganj, 110055 New Delhi, India",819,7.5,3,Good
1611,The LaLiT New Delhi,New Delhi,"Barakhamba Avenue, 110001 New Delhi, India",894,7.2,3,Good
1612,Ventus by Vegas Inn Delhi Airport,New Delhi,"253 Road Number 6, Mahipalpur, 110037 New Delhi, India",4,8.0,5,Very good
1613,Ever Green Guest House Travel & PG,New Delhi,"2769/6, Chuna Mandi Paharganj, Paharganj, 110055 New Delhi, India",130,7.4,3,Good
1614,Hotel Shuhul Continental By Hotel Porium,New Delhi,"56, Sapna Cinema Road Block D east of kailash, 110065 New Delhi, India",0,0.0,3,
1615,UDS Villa - Scandinavian B&B,New Delhi,"22 Hanuman Road, Connaught Place, 110001 New Delhi, India",754,7.4,3,Good
1616,Mandakini villa,New Delhi,"K-10 2nd floor Green Park Extension K-10 2nd floor Green  Park Extension, 110016 New Delhi, India",167,6.1,3,Pleasant
1617,Rose Residency - Sector 9,New Delhi,"Plot No. 29, Toganpur Village Dwarka Sector 9 New Delhi, near Paradise Apartment, Delhi,, 110075 New Delhi, India",32,7.8,4,Good
1618,"Lemon Tree Premier, Delhi Airport",New Delhi,"Asset No. 6, Aerocity Hospitality District, Indira Gandhi International Airport, 110037 New Delhi, India",682,6.9,3,Pleasant
1619,Aloft New Delhi Aerocity,New Delhi,"No. 5B, Aerocity, 110037 New Delhi, India",3351,8.2,3,Very good
1620,Hotel Ananda,New Delhi,"plot-no-8, Block no-41 W.E.A, Karol Bagh, Karol bagh, 110005 New Delhi, India",25,8.4,3,Very good
1621,Deluxe Room In Lajpat Nagar,New Delhi,"3rd Floor, A 89, near Bikanerwala, Lajpat Nagar II, 110024 New Delhi, India",6,7.0,3,Good
1622,Hotel Asko international,New Delhi,"12A/29 Sarswati marg karol bagh New Delhi, Karol bagh, 110005 New Delhi, India",29,4.9,3,Disappointing
1623,Hotel Gaylord International - New Delhi,New Delhi,"7973, arakashan road, Paharganj Arakshan road, Paharganj, 110055 New Delhi, India",81,4.9,3,Disappointing
1624,"Hotel Delish Hospitality Near Laxmi Nagar "" Couple Friendly """,New Delhi,"F75, 3/0, Jagat Ram, Jagat Puri Krishna Nagar, Delhi, 110051 New Delhi, India",15,7.3,3,Good
1625,Hotel The Pearl,New Delhi,"8721 Desh Bandhu Gupta Road, Paharganj, 110055 New Delhi, India",67,7.5,3,Good
1626,OYO Flagship Shyam Villa,New Delhi,"511/5A,  , C Lal Chowk, Near Tata Motors, Govindpuri Metro, New Delhi, Delhi - 110019, Delhi, 110019 New Delhi, India",0,0.0,4,
1627,The Orion - Greater Kailash,New Delhi,"R-53, Greater Kailash 1, Greater Kailash 1, 110048 New Delhi, India",64,7.3,3,Good
1628,Hotel Regent Inn,New Delhi,"32 Saraswati Marg, Karol bagh, 110005 New Delhi, India",7,8.3,3,Very good
1629,Hotel Right Palace and Banquet,New Delhi,"Keshavpur Vegetable Market, Block Wz, Vikas Puri, Delhi, 110018 New Delhi, India",10,4.1,3,Disappointing
1630,Novotel New Delhi Aerocity- International Airport,New Delhi,"Asset No 2 Aerocity Hospitality District IGI Airport New Delhi, 110037 New Delhi, India",5873,7.7,3,Good
1631,Bali Mantra,New Delhi,"11 Feroze Gandhi Road, 110024 New Delhi, India",0,0.0,3,Superb
1632,Hotel Green,New Delhi,"C-47 Hauz Khas Village, Green Park Extension, Green Park,, Hauz Khas, 110016 New Delhi, India",9,8.1,4,Very good
1633,HOTEL THE EMERALD DELUXE,New Delhi,"KH NO. 811 K BLOCK MAHIPALPUR NEW DELHI 110037, 110037 New Delhi, India",4,9.2,3,Superb
1634,HOTEL CONCLAVE EXECUTIVE,New Delhi,"30 Nehru Place Market Road, Nehru Place, 110048 New Delhi, India",2,7.5,4,Good
1635,FabHotel The Lazeez,New Delhi,"87, Block I, Lajpat Nagar Ii, Lajpat Nagar, 110024 New Delhi, India",26,5.6,3,Passable
1636,Jaypee Siddharth,New Delhi,"3 Rajendra Place, 110008 New Delhi, India",728,6.1,3,Pleasant
1637,Muse Sarovar Portico Nehru Place,New Delhi,"A1 Chirag Enclave Nehru Place, 110048 New Delhi, India",120,6.5,3,Pleasant
1638,Hotel Star Villa - Budget Friendly,New Delhi,"98-99, Krishna Gali, Pagar Ganj, Paharganj, 110055 New Delhi, India",210,6.8,3,Pleasant
1639,Hotel IVY plaza Luxury,New Delhi,"A 435 road no 4 mahipalpur near igi Airport, 110037 New Delhi, India",603,7.5,3,Good
1640,Park Plaza Shahdara,New Delhi,"Plot No 32, Central Business District,(near Kakarduma Court), 110095 New Delhi, India",206,6.4,3,Pleasant
1641,Hotel Cozy Cave,New Delhi,"A-85 ROAD NO 4 STREET NO 6 MAHIPALPUR EXTN NEW DELHI, Mahipalpur, 110037 New Delhi, India",24,7.9,3,Good
1642,Hotel Sky Inn - Safdarjung Enclave,New Delhi,"A2/30 2nd floor Safdarjung Enclave Near mail Embassay New Delhi 110029, Safdarjung Enclave, 110029 New Delhi, India",6,6.0,3,Pleasant
1643,HOTEL QUBIC STAY BY IGI AIRPORT,New Delhi,"Street No 7 NH-8 Delhi - Jaipur Expressway Road no 4, Mahipalpur, 110037 New Delhi, India",63,7.1,4,Good
1644,Hotel Jukaso Inn Down Town,New Delhi,"L-1 Connaught Place, Connaught Place, 110001 New Delhi, India",589,6.8,4,Pleasant
1645,HOTEL THE GRAND NILSA 2,New Delhi,"kh no 1027/1 road no 6 A block mahipalpur new delhi 110037, Mahipalpur, 110037 New Delhi, India",6,6.8,3,Pleasant
1646,"Fortune Home Service Apartment 3Bhk , D-198 Saket",New Delhi,"Pramod Mahajan Marg D198,SAKET, Saket, 110017 New Delhi, India",5,7.8,3,Good
1647,Moustache Delhi,New Delhi,"D 920 Block D New Friends Colony , New Friends Colony, 110025 New Delhi, India",1037,8.6,3,Fabulous
1648,THE GRACE HOUSE Paharganj,New Delhi,"2359 raj guru Road, Chuna mandi paharganj Opposite sita ram diwan chand chole bhature wala, Paharganj, 110055 New Delhi, India",107,7.7,3,Good
1649,Room Sly B&B,New Delhi,"A-23, Common Road, KH No-389/1, Mahipalpur extn, Block -A, New delhi-110037, Mahipalpur, 110037 New Delhi, India",14,8.4,3,Very good
1650,Osho max residency,New Delhi,"138 Hauz Rani Inner Lane, Malviya Nagar, 110017 New Delhi, India",0,0.0,3,
1651,Hostel Delhi Fantastic near New Delhi Train Station,New Delhi,"2475 NALWA GALI SANGTRASHAN PAHARGANJ DELHI 110055, Paharganj, 110055 New Delhi, India",24,7.6,3,Good
1652,Hotel Unistar,New Delhi,"3380, Christion Colony, D.B Gupta road , Near Karol Bagh Police Station, Karol bagh, 110005 New Delhi, India",162,6.5,3,Pleasant
1653,HOTEL EKANT RESIDENCY,New Delhi,"Mahipalpur Flyover, Mahipalpur, 110037 New Delhi, India",12,2.4,3,Very poor
1654,Hotel Lotus Stay At Delhi Airport,New Delhi,"NEAR VASANT HOTEL A-113/3 ROAD-3 MAHIPALPUR, 110037 New Delhi, India",409,7.6,3,Good
1655,OYO Townhouse VR Residency,New Delhi,"A-1,  Opp. Ram Mandir, Shri Nagar Garden, Britannia Chowk, Shakurpur, 110092 New Delhi, India",4,10.0,3,Exceptional
1656,Roomshala 112 Hotel Blissbourn - Lajpat Nagar,New Delhi,"3rd Floor, A 89, near Bikanerwala, Lajpat Nagar II, New Delhi,, 110024 New Delhi, India",22,6.0,3,Pleasant
1657,"The Connaught, New Delhi- IHCL SeleQtions",New Delhi,"37, Shaheed Bhagat Singh Marg, Connaught Place, Connaught Place, 110001 New Delhi, India",1573,8.7,4,Fabulous
1658,Cottage Ganga Inn,New Delhi,"1532, Bazar Sangtrashan,(Behind Khanna Cinema), Near Main Bazar, Pahar Ganj, Paharganj, 110055 New Delhi, India",156,7.4,3,Good
1659,Grand Godwin Near NDLS Railway Station- Paharganj,New Delhi,"8502/41 Arakashan Road Ram Nagar Pahar Ganj, Paharganj, 110055 New Delhi, India",317,7.5,4,Good
1660,Roomshala 119 Hotel JPS,New Delhi,"C- 362, 1st Floor, Vikas puri, 110018 New Delhi, India",15,8.6,3,Fabulous
1661,Hotel Red Castle - Karol Bagh,New Delhi,"7A/78 W.E.A Channa Market Karol Bagh New Delhi 7A/78 W.E.A Channa Market Karol Bagh New Delhi-110005, Karol bagh, 110005 New Delhi, India",179,8.2,2,Very good
1662,Roomshala 026 Commodo Residency - Satya Niketan,New Delhi,"H. No. 16 , satya niketan main market moti bagh 2, 110023 New Delhi, India",95,6.1,3,Pleasant
1663,Comfy stay,New Delhi,"D3 shubham enclave gate no 4th  jwaka heri road District Park 3rd floor, Pashim Vihar, 110063 New Delhi, India",0,0.0,3,
1664,OYO Flagship 7705 The Sky Residency,New Delhi,"A 77, A 77 Clock Tower Hari Nagar, Delhi, 110064 New Delhi, India",7,8.4,4,Very good
1665,HOTEL Red Rosse 5 mints walkking distance from new delhi railway station,New Delhi,"670, Mohalla Bawli Chowk, 6 Tutti Chowk, Paharganj, New Delhi-110055 Ground Floor, Paharganj, 110055 New Delhi, India",12,9.6,3,Exceptional
1666,Qotel IP Residency Anand Vihar,New Delhi,"128, Hargobind Enclave, A G C R Enclave, Anand Vihar, Delhi, 110092 128, Hargobind Enclave, A G C R Enclave, Anand Vihar, Delhi, 110092, 110092 New Delhi, India",86,6.4,5,Pleasant
1667,The Hosteller Delhi,New Delhi,"A-10, Mathura Rd, Near Ashram Chowk Block A, Friends Colony East, New Friends Colony,, New Friends Colony, 110065 New Delhi, India",1312,8.3,3,Very good
1668,Hotel Delhi Fab,New Delhi,"1650 main bazaar near PNB Bank opp R.K Ashram metro gate no 2, 110055 New Delhi, India",254,6.2,3,Pleasant
1669,Super OYO Flagship 26685 Hotel Honey Inn,New Delhi,"Plot No. 32B, Gokul Garden Road, Palam Village, Dwarka, 110045 New Delhi, India",7,6.4,3,Pleasant
1670,Siya Cottage,New Delhi,"CR Park Main Road, 110019 New Delhi, India",0,0.0,3,
1671,Hotel Royal Mannat - Near Max Shalimar Bagh,New Delhi,"Second and third Floor, AG-38, Shalimar Bagh,, 110088 New Delhi, India",64,7.8,3,Good
1672,Hotel Emporio View,New Delhi,"Gali School Vali Road 3990, Gali School Wali, Sangtrashan, Pahar Ganj, Central Delhi, New Delhi, Delhi 110055, Paharganj, 110055 New Delhi, India",82,7.5,3,Good
1673,VRINDAVAN GUEST HOUSE,New Delhi,"Sri Aurobindo Marg, 110016 New Delhi, India",16,7.4,3,Good
1674,Hotel Galaxy,New Delhi,"Hotel Galaxy, Road No. 1, Mahipalpur, New Delhi 110037 Hotel Galaxy, Mahipalpur, 110037 New Delhi, India",10,7.2,3,Good
1675,Svelte Hotel and Personal Suites,New Delhi,"A- 3, District Centre, Saket, Select City Walk Mall, Saket, 110017 New Delhi, India",480,6.4,3,Pleasant
