Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
easyHotel Paddington,yes,"10 Norfolk Place, Westminster Borough, London, W2 1QL, United Kingdom","2,173 reviews",4.7,3 out of 5,Disappointing,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room with Window,"₹ 8,137"
Beautiful double room in a central location next to various tube stations with breakfast and yoga options available on site,yes,"49 Gower Street Ground floor, Camden, London, WC1E 6HH, United Kingdom",5 reviews,9.8,4 out of 5,Exceptional,no,yes,no,NA,yes,no,"Continental, Full English/Irish, Vegetarian",single bed,double bed,Twin Room,"₹ 13,732"
"Holiday Inn London - Regent's Park, an IHG Hotel",yes,"Carburton Street, Westminster Borough, London, W1W 5EE, United Kingdom","4,441 reviews",7.9,5 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free",single bed,double bed,Standard Double Room,"₹ 19,333"
Discover London's Charm in Our Elegant 1-Bedroom Flat,yes,"SE152LD, London, SE15 2LD, United Kingdom",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 11,088"
Kensington Court Hotel - Earls Court,yes,"33-35 Nevern Place, Kensington and Chelsea, London, SW5 9NP, United Kingdom",960 reviews,7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 11,947"
The Queens Gate Hotel,yes,"31-34 Queen's Gate, Kensington and Chelsea, London, SW7 5JA, United Kingdom","2,029 reviews",8.3,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Gluten-free, Buffet, Breakfast to go",single bed,double bed,Standard Queen Room,"₹ 27,566"
"Holiday Inn London West, an IHG Hotel",yes,"4 Portal Way, Gypsy Corner/ A40, London, W3 6RT, United Kingdom","3,004 reviews",7.9,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Full English/Irish, Gluten-free",single bed,double bed,Double Room,"₹ 17,851"
Stratford Apartments,no,"Newham, London, E15 2AE, United Kingdom",25 reviews,3.0,3 out of 5,Poor,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 10,894"
Londwell - Luxury Notting Hill Balcony Flat,yes,"Wornington Road, Kensington and Chelsea, London, United Kingdom",4 reviews,9.7,4 out of 5,Exceptional,no,no,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 19,129"
ibis London Blackfriars,yes,"49 Blackfriars Road, Southwark, London, SE1 8NZ, United Kingdom","5,233 reviews",7.9,2 out of 5,Good,yes,yes,yes,Bar,yes,yes,"Continental, Full English/Irish",single bed,double bed,Standard Twin Room,"₹ 12,308"
