Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Ceria Hotel,yes,"Located In 270, Jalan Changkat Thambi Dollah, Pudu, Bukit Bintang, 55100 Kuala Lumpur, Malaysia","1,836 reviews",7.7,4 out of 5,Good,yes,yes,no,NA,no,no,NA,single bed,double bed,Standard Double Room,"₹ 1,732"
Hilton Garden Inn Kuala Lumpur - South,yes,"No. 452 Jalan Tuanku Abdul Rahman  , Chow Kit, 50100 Kuala Lumpur, Malaysia","5,810 reviews",8.0,4 out of 5,Very good,no,yes,no,Bar,no,yes,"Vegetarian, Asian, American",single bed,double bed,Queen Room,"₹ 2,815"
Bunga Suite at Times Square,yes,"1 Jalan Imbi, Berjaya Times Square, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",15 reviews,7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Deluxe Suite,"₹ 7,077"
Opus Residences Kuala Lumpur by Luna,yes,"8 Jalan Talalla, 50460 Kuala Lumpur, Malaysia",173 reviews,8.2,4 out of 5,Very good,yes,no,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Suite with Merdeka Tower View,"₹ 3,553"
CL 95B Modern studio Infinity Pool KLCC View,yes,"18 Jalan Dewan Sultan Sulaiman, Chow Kit, 50300 Kuala Lumpur, Malaysia",NA,NA,4 out of 5,Exceptional 9.7,no,no,no,NA,no,no,NA,NA,double bed,Studio Apartment,"₹ 2,372"
Platinum Service Suite KLCC By Citybox,yes,"C-17-2, Suite Platinum Block C & D 1020, JLN Sultan Ismail, 50250 Kuala Lumpur, 55100 Kuala Lumpur, Malaysia",268 reviews,8.3,5 out of 5,Very good,yes,yes,no,Bar,no,yes,NA,NA,double bed,Deluxe King Studio,"₹ 5,560"
INNSiDE by Meliá Kuala Lumpur,yes,"N-G01, Ekocheras No 693 Batu 5 Jalan Cheras,, 56000 Kuala Lumpur, Malaysia",232 reviews,8.3,5 out of 5,Very good,yes,yes,no,NA,no,yes,"Continental, Vegetarian, Vegan, Gluten-free, Kosher, Asian, American",single bed,double bed,The Innside Room,"₹ 3,715"
Ceylonz Suites by MyKey Global,yes,"3 Persiaran Raja Chulan Ceylonz Suites, Bukit Bintang, 50200 Kuala Lumpur, Malaysia","3,777 reviews",8.2,4 out of 5,Very good,no,yes,no,Bar,no,yes,"Continental, Buffet",single bed,double bed,Designer Queen Studio,"₹ 4,204"
Star Serviced Suite KLCC,yes,"1 Jalan Yap Kwan Seng Star Residence One Lobby, Suite 1-28-3, 50450 Kuala Lumpur, Malaysia",201 reviews,8.4,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Halal, Asian",single bed,double bed,Superior Suite,"₹ 4,047"
The Platinum KLCC by Veedu Hauz,yes,"1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Malaysia",147 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,Bar,no,yes,NA,single bed,double bed,Deluxe One Bedroom Apartment,"₹ 3,920"
Axon Suites Klcc,yes,"Jalan Padang, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",38 reviews,9.2,4 out of 5,Superb,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Budget Double Room,"₹ 5,400"
ASTRA @ 8 Kia Peng Suites,yes,"8 Jalan Changkat Kia Peng 38-02, 50450 Kuala Lumpur, Malaysia",108 reviews,8.9,3 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Deluxe Apartment,"₹ 3,869"
