Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Hotel Venus Plaza- Near Delhi Airport,yes,"A Block Road No 4 140, Mahipalpur, 110037 New Delhi, India","1,269 reviews",7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian, Asian, American",single bed,double bed,Deluxe Room,"₹ 4,742"
"Taj Palace, New Delhi",yes,"Sardar Patel Marg, Chanakyapuri, 110021 New Delhi, India","4,243 reviews",8.7,3 out of 5,Fabulous,yes,yes,no,Bar,no,yes,"Continental, Italian, Full English/Irish, Vegetarian, Vegan, Halal, Gluten-free, Asian, American",single bed,double bed,"Superior Room, Queen Bed","₹ 20,000"
Hotel Silver Saffron Near Paschim Vihar Metro Station,yes,"Paschim Vihar Road Metro Pillar No 266, Paschim Vihar, Pashim Vihar, 110087 New Delhi, India",220 reviews,7.0,3 out of 5,Good,yes,yes,no,Bar,no,no,"Continental, Asian, American",NA,double bed,Deluxe Double Room,"₹ 3,671"
Hotel Ratandeep at New Delhi Railway Station,yes,"Address: 7864/3A Arakashan road, Street No. 6, Paharganj, Delhi 110055, Paharganj, 110055 New Delhi, India",62 reviews,6.2,3 out of 5,Pleasant,yes,yes,no,NA,no,no,NA,NA,double bed,Deluxe Double Room,"₹ 1,509"
House Of Comfort Delhi,yes,"94 / AA , Sant Nagar , East Of Kailash , South Delhi, 110065 New Delhi, India",245 reviews,9.1,3 out of 5,Superb,yes,yes,no,Bar,yes,no,Vegetarian,NA,double bed,Deluxe Room,"₹ 3,847"
Hotel Hoxton Pride at Delhi Airport,yes,"Block-A, Road No-3, A-120, Mahipalpur, New Delhi., 110037 New Delhi, India",366 reviews,7.4,3 out of 5,Good,yes,yes,no,Bar,yes,no,"Continental, Vegetarian, Vegan, American",single bed,double bed,Deluxe Double Room,"₹ 1,366"
OYO 81187 Hotel Maharaja,no,"Plot No-12/29, Majnu Ka tila Near Timarpur Delhi , Delhi, 110054 New Delhi, India",8 reviews,1.5,3 out of 5,Bad,no,no,no,NA,no,no,NA,NA,double bed,Classic Triple Room,"₹ 1,364"
Aman International-A New Unit of Aman Continental,yes,"4555-56, Main Bazar, Pahar Ganj,, Paharganj, 110055 New Delhi, India",17 reviews,7.1,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian",NA,double bed,Deluxe Double Room,"₹ 2,546"
OYO Flagship Premium Rooms,no,"A-138, Mehrauli Badarpur Road  Khanpur Extension, Delhi, 110062 New Delhi, India",1 review,10,3 out of 5,Exceptional,no,no,no,NA,no,no,NA,NA,double bed,Classic Triple Room,₹ 757
FabHotel Royal Touch,no,"Axis Bank, Balraj Khanna Marg, Patel Nagar Tehsil, West Delhi, Delhi, 110008 New Delhi, India",23 reviews,6.7,4 out of 5,Pleasant,no,no,no,NA,no,yes,Continental,NA,double bed,Deluxe Room,"₹ 2,150"
