Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
The Alexandra Hotel,yes,"77 Ryerson Avenue, M5T 2V4 Toronto, Canada",441 reviews,6.6,3 out of 5,Pleasant,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double and Single Bed Room,"₹ 10,419"
Bremner Apartments,yes,"55 Bremner Boulevard, M5J 0A6 Toronto, Canada",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Apartment,"₹ 10,925"
Centrally located studio Suite,yes,"24 Anticosti Drive, M1J 1V5 Toronto, Canada",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 7,206"
1 Hotel Toronto,yes,"550 Wellington Street West, M5V 2V4 Toronto, Canada",237 reviews,8.8,4 out of 5,Fabulous,yes,yes,yes,Bar,yes,yes,NA,NA,double bed,Studio King,"₹ 32,625"
House In Scarborough,yes,"90 Wye Valley Road, Scarborough, M1P 2A6 Toronto, Canada",NA,NA,4 out of 5,Very good 8.0,no,no,no,NA,yes,no,NA,NA,double bed,Three-Bedroom House,"₹ 18,741"
Toronto Don Valley Hotel and Suites,yes,"175 Wynford Drive, North York, M3C 1J3 Toronto, Canada","1,864 reviews",6.4,3 out of 5,Pleasant,no,yes,no,Bar,yes,yes,NA,NA,double bed,King Room,"₹ 11,041"
The Rex Hotel Jazz & Blues Bar,yes,"194 Queen Street West, M5V 1Z1 Toronto, Canada","1,083 reviews",7.4,4 out of 5,Good,no,yes,no,Bar,yes,no,American,single bed,double bed,Basic Double or Twin Room with Shared Bathroom,"₹ 12,022"
Kensington Market House,yes,"112 Oxford Street, M5T 1P3 Toronto, Canada",144 reviews,7.1,4 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,Double Room with Private Bathroom,"₹ 9,247"
STB-B2,yes,"32 Saintsbury Square, Scarborough, M1V 3K2 Toronto, Canada",NA,NA,4 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Double Room with Private Bathroom,"₹ 9,926"
Modern 1BR Unit - Near High Park,yes,"Ascot Avenue 92, M6E 1E9 Toronto, Canada",5 reviews,7.6,3 out of 5,Good,no,no,no,NA,yes,no,NA,NA,double bed,Apartment,"₹ 12,823"
Residence Inn by Soho,yes,"300 Front Street West, M5V 0E9 Toronto, Canada",35 reviews,8.2,4 out of 5,Very good,no,yes,no,NA,no,no,NA,single bed,double bed,Apartment with Balcony,"₹ 17,632"
Best Western Plus Travel Hotel Toronto Airport,yes,"5503 Eglinton Avenue West, M9C 5K5 Toronto, Canada","1,588 reviews",8.2,4 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,NA,double bed,Queen Room,"₹ 18,433"
Kensington Place Apartments,yes,"38 Kensington Place, M5T 2K4 Toronto, Canada",1 review,1.0,3 out of 5,Bad,yes,yes,no,NA,yes,yes,NA,NA,double bed,Apartment,"₹ 11,467"
Salmon magwood Guesthouse,yes,"224 Saint Marks Road, M6S 2J2 Toronto, Canada",34 reviews,9.4,4 out of 5,Superb,no,yes,no,NA,yes,no,NA,single bed,double bed,Triple Room with Private External Bathroom,"₹ 10,542"
Best Western Plus Toronto North York Hotel & Suites,yes,"50 Norfinch Drive, North York, M3N 1X1 Toronto, Canada",872 reviews,6.7,2 out of 5,Pleasant,yes,yes,no,NA,yes,yes,American,NA,double bed,Queen Room,"₹ 11,004"
Phoebe Wang,yes,"700 Bathurst Street, M5S 2R3 Toronto, Canada",14 reviews,8.8,4 out of 5,Fabulous,no,yes,no,NA,yes,no,"American, Buffet",NA,double bed,Deluxe Room,"₹ 14,118"
King Blue Hotel Toronto,yes,"355 King Street West, M5V 1J6 Toronto, Canada",713 reviews,8.8,3 out of 5,Fabulous,yes,yes,no,NA,yes,yes,NA,NA,double bed,Accessible Room - 1 King Bed,"₹ 21,577"
Cozy 3BR Unit - Heart Of Trinity Bellwoods,yes,"Ossington Avenue 383, M6J 3A6 Toronto, Canada",NA,2.5,4 out of 5,Host review score,yes,yes,no,NA,yes,no,NA,NA,double bed,Apartment,"₹ 19,481"
Dragon Gate Inn,yes,"787 Dundas St W., M6J 1V2 Toronto, Canada","1,128 reviews",5.6,4 out of 5,Passable,no,yes,no,NA,yes,no,NA,single bed,double bed,Superior Studio (2 Adults),"₹ 10,480"
Cozy Downtown Private Rooms near AGO,yes,"114 Beverley St Lower Toronto, ON M5T 1Y2, M5T 1Y2 Toronto, Canada",6 reviews,6.0,3 out of 5,Pleasant,no,no,no,NA,yes,no,NA,single bed,double bed,Double Room with Shared Bathroom,"₹ 8,631"
Sandman Signature Toronto Airport Hotel,yes,"55 Reading Court, Etobicoke, M9W 7K7 Toronto, Canada","1,449 reviews",7.7,2 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,NA,double bed,Signature 2 Queens,"₹ 14,549"
Private Room near AGO,yes,"114 Beverley St Upper Toronto, ON M5T 1Y2, M5T 1Y2 Toronto, Canada",5 reviews,8.8,4 out of 5,Fabulous,no,no,no,NA,yes,no,NA,NA,double bed,Budget Double Room,"₹ 9,556"
A beautiful place in Scarborough,yes,"21 Haddon Avenue, Scarborough, M1N 2K7 Toronto, Canada",NA,NA,3 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Four-Bedroom House,"₹ 19,419"
Cozy 2BR Apartment - Near Downtown Toronto,yes,"River Street 41, M5A 3P1 Toronto, Canada",2 reviews,8.0,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Apartment,"₹ 17,693"
