Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Timhotel Tour Montparnasse,yes,"11 Bis Rue De La Gaîté, 14th arr., 75014 Paris, France","1,522 reviews",7.5,4 out of 5,Good,yes,yes,no,NA,yes,yes,Buffet,single bed,double bed,Comfort Double Room,"₹ 15,821"
Korner Opera,yes,"154 Rue Montmartre, 2nd arr., 75002 Paris, France","1,017 reviews",8.0,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 24,130"
Hôtel Oratio,yes,"42, Rue des Bernardins, 5th arr., 75005 Paris, France","1,395 reviews",8.8,2 out of 5,Fabulous,yes,yes,no,NA,yes,yes,"Continental, Buffet",single bed,double bed,Comfort Double Room,"₹ 24,660"
Castex Hotel,yes,"5, Rue Castex, 4th arr., 75004 Paris, France","1,093 reviews",7.5,4 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Double Room,"₹ 23,776"
Cocon lumineux proche de la Place de la Nation,yes,"15 Bd de Picpus, 12th arr., 75012 Paris, France",3 reviews,9.7,2 out of 5,Exceptional,no,yes,no,Bar,yes,yes,NA,NA,double bed,Apartment,"₹ 10,368"
Hôtel Le Beaugency,yes,"21 Rue Duvivier, 7th arr., 75007 Paris, France","1,529 reviews",8.2,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 23,334"
Hôtel Saint Germain,yes,"88 Rue du Bac, 7th arr., 75007 Paris, France",471 reviews,8.6,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Classic Double Room with Shower,"₹ 36,504"
Timhotel Paris Gare de l'Est,yes,"27, rue des Récollets, 10th arr., 75010 Paris, France","1,700 reviews",7.6,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian",single bed,double bed,Double Room,"₹ 15,821"
Belle Chambre privative,yes,"15 Rue Pierre Fontaine, 9th arr., 75009 Paris, France",50 reviews,8.1,3 out of 5,Very good,no,yes,no,NA,yes,no,NA,single bed,double bed,Family Room with Private Bathroom,"₹ 10,443"
Mercure Paris Alesia,yes,"185 Boulevard Brune, 14th arr., 75014 Paris, France","1,637 reviews",8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, American",single bed,double bed,Standard Double Room,"₹ 17,193"
Mercure Paris Gare Montparnasse,yes,"20 Rue De La Gaîté, 14th arr., 75014 Paris, France","1,522 reviews",8.0,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,American,single bed,double bed,Standard Room with Double Bed,"₹ 21,779"
Auberge Internationale des Jeunes,yes,"10 Rue Trousseau, 11th arr., 75011 Paris, France","2,771 reviews",6.3,3 out of 5,Pleasant,no,yes,no,NA,yes,no,Continental,single bed,NA,Quadruple Room with Private Bathroom,"₹ 7,690"
Le Nouvel Hôtel du Théâtre,yes,"16, Rue Vandamme, 14th arr., 75014 Paris, France",361 reviews,7.1,3 out of 5,Good,no,yes,no,NA,yes,no,NA,single bed,double bed,Double Room with Shower,"₹ 16,793"
Mercure Paris 19 Philharmonie La Villette,yes,"216 Avenue Jean Jaures, 19th arr., 75019 Paris, France","2,699 reviews",6.9,1 out of 5,Pleasant,yes,yes,no,Bar,yes,yes,American,single bed,double bed,Classic Â Double Room,"₹ 8,724"
Hotel OHM by Happyculture,yes,"11 rue Claude Terrasse, 16th arr., 75016 Paris, France","2,250 reviews",7.9,4 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian",single bed,double bed,Double Room,"₹ 13,258"
Graphik Montparnasse,yes,"131 Avenue du Maine, 14th arr., 75014 Paris, France",817 reviews,8.5,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Gluten-free",single bed,double bed,Double Room with Private Bathroom,"₹ 20,152"
Hotel Duquesne Eiffel,yes,"23, Avenue Duquesne, 7th arr., 75007 Paris, France",797 reviews,8.4,2 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Buffet",single bed,double bed,Classic Single or Double Room with Courtyard View,"₹ 21,566"
Hotel Miramar,yes,"6 Place Bienvenue, 15th arr., 75015 Paris, France","2,335 reviews",8.0,3 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Twin Room,"₹ 13,125"
Hotel Nation Montmartre,yes,"4 Rue Boissieu, 18th arr., 75018 Paris, France",15 reviews,6.9,3 out of 5,Pleasant,yes,yes,no,Bar,yes,no,Buffet,single bed,double bed,Prestige Room,"₹ 24,132"
Hôtel Royal Opéra,yes,"5 Rue Castellane, 8th arr., 75008 Paris, France",958 reviews,7.4,4 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 17,943"
Hotel Elysées Bassano,yes,"24 rue Bassano, 16th arr., 75016 Paris, France",384 reviews,8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Gluten-free, American, Buffet",single bed,double bed,Classic Double Room,"₹ 28,195"
Hôtel B55,yes,"55 Rue Boussingault, 13th arr., 75013 Paris, France",799 reviews,8.6,3 out of 5,Fabulous,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double or Twin Room with Shower,"₹ 16,979"
Hotel Cosy Monceau,yes,"21 Rue Jouffroy D'abbans, 17th arr., 75017 Paris, France",800 reviews,6.2,3 out of 5,Pleasant,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Double Room,"₹ 7,690"
Hotel Le Mareuil,yes,"51, Rue de Malte, 11th arr., 75011 Paris, France",963 reviews,8.9,1 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Gluten-free",single bed,double bed,Standard Double Room with Hammam Access,"₹ 23,538"
Hotel Moderne Saint Germain,yes,"33, Rue Des Ecoles, 5th arr., 75005 Paris, France","2,028 reviews",8.1,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Superior Double Room,"₹ 16,626"
Appart'City Collection Paris Grande Bibliothèque,yes,"70 Avenue De France, 13th arr., 75013 Paris, France","1,267 reviews",7.2,2 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free, American",single bed,double bed,Double Studio,"₹ 12,021"
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)",yes,"28, Rue Lecourbe, 15th arr., 75015 Paris, France","1,492 reviews",7.9,4 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 17,501"
Doisy Etoile - Orso Hotels,yes,"55 avenue des Ternes, 17th arr., 75017 Paris, France",638 reviews,8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,"Deluxe Room ""Palm""","₹ 31,103"
Royal Garden Champs-Élysées,yes,"218 - 220 rue du Faubourg St. Honoré, 8th arr., 75008 Paris, France","1,595 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Halal, Gluten-free, American",single bed,double bed,Double Classic,"₹ 32,350"
Ibis Styles Paris Gare Saint Lazare,yes,"9, Rue de Constantinople, 8th arr., 75008 Paris, France","1,127 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 16,519"
Appartement De Charme,yes,"15 Rue Tiquetonne, 2nd arr., 75002 Paris, France",NA,NA,3 out of 5,NA,yes,yes,no,NA,yes,no,NA,NA,double bed,One-Bedroom Apartment,"₹ 12,728"
Camelia Prestige - Place de la Nation,no,"6, Avenue Philippe Auguste, 11th arr., 75011 Paris, France","2,124 reviews",6.7,3 out of 5,Pleasant,yes,yes,no,NA,yes,no,NA,single bed,double bed,Double Room with Shower,"₹ 7,866"
Hotel Beaugrenelle Tour Eiffel,yes,"19, Rue Viala, 15th arr., 75015 Paris, France","2,740 reviews",7.7,3 out of 5,Good,no,no,no,Bar,yes,yes,Continental,single bed,double bed,Comfort Double or Twin Room,"₹ 17,943"
Makom Pereire,yes,"146 Boulevard Pereire, 17th arr., 75017 Paris, France",421 reviews,7.6,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Buffet",single bed,double bed,Deluxe Double Room,"₹ 11,579"
Hôtel Eiffel Kensington,yes,"79 Avenue De La Bourdonnais, 7th arr., 75007 Paris, France","1,851 reviews",6.5,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Premium Double or Twin Room,"₹ 16,528"
Hôtel de l'Aveyron,yes,"5 rue d'Austerlitz, 12th arr., 75012 Paris, France","1,861 reviews",6.1,3 out of 5,Pleasant,yes,yes,no,NA,yes,no,Continental,single bed,double bed,Double Room,"₹ 10,341"
Hôtel Sanso by HappyCulture,yes,"15 Rue de Tolbiac, 13th arr., 75013 Paris, France","1,465 reviews",8.5,3 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 16,793"
"Maison Souquet, Hotel & Spa",yes,"10 rue de Bruxelles, 9th arr., 75009 Paris, France",458 reviews,9.2,4 out of 5,Superb,yes,yes,no,Bar,yes,yes,"Continental, American",NA,double bed,Deluxe Double Room with Private Access to Pool and Spa,"₹ 48,613"
Helussi Hôtel,yes,"22 bis, rue de Bellefond, 9th arr., 75009 Paris, France","1,000 reviews",8.8,4 out of 5,Fabulous,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Classic Double or Twin Room,"₹ 16,238"
Madrigal,yes,"32 Boulevard Pasteur, 15th arr., 75015 Paris, France","1,315 reviews",8.4,3 out of 5,Very good,yes,yes,yes,Bar,yes,yes,Continental,single bed,double bed,Double Room - Double Mignonne,"₹ 17,677"
ibis Daumesnil Porte Doree,yes,"111 boulevard Poniatowski, 12th arr., 75012 Paris, France","1,021 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Continental, Gluten-free",single bed,double bed,Standard Twin Room,"₹ 11,784"
Louvre Marsollier Opera,yes,"13, rue Marsollier, 2nd arr., 75002 Paris, France","1,141 reviews",7.6,4 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 25,544"
"The Originals Boutique, Hôtel Maison Montmartre, Paris",yes,"32 Avenue de la Porte de Montmartre, 18th arr., 75018 Paris, France","3,575 reviews",7.7,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room Premium,"₹ 13,099"
Royal Saint Michel,yes,"3 Boulevard Saint Michel, 5th arr., 75005 Paris, France","1,458 reviews",8.0,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room - courtyard view,"₹ 32,615"
Hôtel le Derby Alma by Inwood Hotels,yes,"8, Avenue Rapp, 7th arr., 75007 Paris, France","1,001 reviews",8.6,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Gluten-free",single bed,double bed,Classic Double Room,"₹ 44,459"
Le 20 Prieuré Hôtel,yes,"20 Rue Du Grand Prieure, 11th arr., 75011 Paris, France","1,096 reviews",8.0,5 out of 5,Very good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 20,488"
ibis Styles Paris Maine Montparnasse,yes,"22, rue Hippolyte Maindron, 14th arr., 75014 Paris, France",676 reviews,7.8,3 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 14,571"
Hôtel Viator,yes,"61 Rue Des Moines, 17th arr., 75017 Paris, France","1,044 reviews",5.6,2 out of 5,Passable,yes,no,no,NA,yes,no,NA,single bed,double bed,Twin Room,"₹ 11,777"
Studio paris 19,yes,"1er etage gauche 2eme porte droite code 53A76 52 Rue Archereau, 19th arr., 75019 Paris, France",1 review,1.0,3 out of 5,Bad,no,no,no,NA,yes,no,NA,NA,NA,Apartment,"₹ 8,114"
Hôtel Du Brabant,yes,"18, rue des Petits Hôtels, 10th arr., 75010 Paris, France","1,558 reviews",5.4,3 out of 5,Passable,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room,"₹ 11,048"
Apartments WS Notre-Dame - Linné,yes,"27 Rue Linné, 5th arr., 75005 Paris, France",152 reviews,7.7,3 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,One-Bedroom Apartment,"₹ 20,908"
Ibis Styles Paris Massena Olympiades,yes,"82-84 rue Regnault, 13th arr., 75013 Paris, France","2,049 reviews",8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double Room,"₹ 16,321"
Hôtel Edgar Quinet,yes,"17 boulevard Edgar Quinet, 14th arr., 75014 Paris, France","2,346 reviews",5.8,4 out of 5,Passable,yes,yes,no,NA,yes,no,NA,single bed,double bed,Double Room,"₹ 12,374"
New Hotel Lafayette,yes,"25, Rue Buffault, 9th arr., 75009 Paris, France","1,243 reviews",7.8,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian",single bed,double bed,Double Room,"₹ 25,190"
Hotel Riviera Renovated,yes,"6, Rue De Turgot, 9th arr., 75009 Paris, France",135 reviews,6.5,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Double Room,"₹ 9,465"
The People - Paris Nation,yes,"28 bis Place de la Nation, 12th arr., 75012 Paris, France","5,563 reviews",8.4,3 out of 5,Very good,no,no,no,Bar,yes,yes,Continental,NA,double bed,Superior Double Room,"₹ 14,637"
Hotel Opera Maintenon,yes,"36 Rue Sainte Anne, 1st arr., 75001 Paris, France","1,275 reviews",8.3,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 23,422"
Les Jardins Du Marais,yes,"74, rue Amelot, 11th arr., 75011 Paris, France","2,101 reviews",7.9,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Kosher, Asian, American",single bed,double bed,Superior Room,"₹ 26,251"
Saint Georges Lafayette,yes,"11 rue Victor Masse, 9th arr., 75009 Paris, France","1,812 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 12,639"
St Christopher's Inn Paris - Canal,yes,"159 rue de Crimée, 19th arr., 75019 Paris, France","5,745 reviews",7.3,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room with Shared Bathroom,"₹ 12,185"
Amadeus Hotel,yes,"39, Rue Claude Tillier, 12th arr., 75012 Paris, France","1,153 reviews",7.6,2 out of 5,Good,no,yes,no,NA,yes,yes,"Continental, Buffet",single bed,double bed,Double Room,"₹ 12,091"
The ReMIX Hotel,yes,"28 av Corentin Cariou, 19th arr., 75019 Paris, France","6,813 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Duo Pop Room,"₹ 11,932"
TRIBE Paris Batignolles,yes,"176 Rue Cardinet, 17th arr., 75017 Paris, France","1,548 reviews",8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,Buffet,single bed,double bed,Comfort Double Room - Street Side,"₹ 20,622"
Apartments WS Saint-Lazare - Lafayette,yes,"29 Rue Saint-Lazare, 9th arr., 75009 Paris, France",639 reviews,7.8,3 out of 5,Good,no,yes,no,NA,yes,no,Continental,NA,double bed,Studio,"₹ 17,549"
Apartments WS Tour Eiffel - Saint-Charles,yes,"96 Rue Saint Charles, 15th arr., 75015 Paris, France",501 reviews,7.5,3 out of 5,Good,no,yes,no,NA,yes,no,Continental,NA,double bed,Studio with Garden View,"₹ 17,549"
Eiffel Trocadéro,yes,"35 Rue Benjamin Franklin, 16th arr., 75016 Paris, France","1,208 reviews",8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Superior Double Room,"₹ 25,421"
