Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Mercure Hotel Berlin Zentrum Superior,yes,"Fuggerstr. 8, Tempelhof-Schöneberg, 10777 Berlin, Germany",777 reviews,7.5,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Buffet",single bed,double bed,Standard Double or Twin Room,"₹ 10,083"
Nena Apartments Hermannplatz,yes,"119 Hasenheide, Neukölln, 10967 Berlin, Germany",939 reviews,7.8,3 out of 5,Good,no,yes,no,NA,yes,yes,NA,NA,double bed,Standard Triple Studio,"₹ 10,960"
Pullman Berlin Schweizerhof,yes,"Budapester Str. 25, Mitte, 10787 Berlin, Germany","4,523 reviews",8.5,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,Superior Double or Twin Room,"₹ 12,639"
Hotel MANI by AMANO,yes,"Torstraße 136, Mitte, 10119 Berlin, Germany","1,442 reviews",7.9,4 out of 5,Good,no,yes,no,Bar,yes,yes,Continental,single bed,double bed,Double Room,"₹ 7,796"
PREMIUM Hostel,yes,"NORDLICHTSTR. 24, Reinickendorf, 13405 Berlin, Germany",869 reviews,4.7,4 out of 5,Disappointing,yes,yes,no,Bar,yes,no,NA,single bed,double bed,Double Room with Private Bathroom,"₹ 6,629"
Park Plaza Berlin Kudamm,yes,"Joachimstaler Str. 29, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany","4,413 reviews",7.8,3 out of 5,Good,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,Double Room,"₹ 9,634"
Hotel Domicil Berlin by Golden Tulip,yes,"Kantstraße 111a, Charlottenburg-Wilmersdorf, 10627 Berlin, Germany","1,094 reviews",7.7,3 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free, Buffet",single bed,double bed,Standard Twin Room,"₹ 10,253"
Die Fabrik - baxpax Hotel,yes,"Schlesische Straße 18, Friedrichshain-Kreuzberg, 10997 Berlin, Germany","2,208 reviews",7.7,3 out of 5,Good,no,yes,no,Bar,yes,no,Continental,single bed,double bed,Triple Room with Shared Bathroom,"₹ 6,162"
"Hotel am Steinplatz, Autograph Collection",yes,"Steinplatz 4, Charlottenburg-Wilmersdorf, 10623 Berlin, Germany",325 reviews,8.8,3 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, American",single bed,double bed,"Deluxe Room, 1 King","₹ 22,539"
Müggelseeperle,yes,"Müggelheimer Damm 145, Treptow-Köpenick, 12559 Berlin, Germany",337 reviews,6.8,3 out of 5,Pleasant,no,yes,no,NA,yes,yes,"Vegetarian, Vegan, American",single bed,double bed,Double Room,"₹ 9,625"
