Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
BEST WESTERN PLUS Travel Inn,yes,"Cnr. Grattan & Drummond Streets, Carlton, 3053 Melbourne, Australia",868 reviews,7.8,4 out of 5,Good,yes,yes,no,Bar,yes,no,"Continental, Full English/Irish",single bed,double bed,Deluxe Queen Room,"₹ 10,394"
Oaks Melbourne on William Suites,yes,"350 William Street, 3000 Melbourne, Australia","4,012 reviews",7.9,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio,"₹ 8,519"
"City-view High Rise 2BR Apt w/Pool, Sauna Gym, Library near Southern Cross Station Melbourne CBD",yes,"11 Rose Lane, 3000 Melbourne, Australia",NA,NA,3.5 out of 5,Very good 8.1,yes,yes,no,NA,yes,yes,NA,NA,double bed,Two-Bedroom Apartment,"₹ 8,197"
Naughtons Hotel,yes,"43 Royal Parade, 3052 Melbourne, Australia",687 reviews,8.5,4 out of 5,Very good,no,yes,no,Bar,no,no,NA,single bed,double bed,Standard Queen Room,"₹ 8,733"
Imagine Wrap,yes,"133 City Road, Southbank, 3006 Melbourne, Australia",597 reviews,8.1,5 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,1 Bedroom Apartment,"₹ 9,054"
Hyatt Centric Melbourne,yes,"25 Downie Street, 3000 Melbourne, Australia","1,059 reviews",8.6,4.5 out of 5,Fabulous,no,yes,no,Bar,yes,yes,"Continental, Buffet",single bed,double bed,Twin Room,"₹ 12,055"
Veriu Queen Victoria Market,yes,"91 Therry Street, 3000 Melbourne, Australia",752 reviews,9.0,4.5 out of 5,Superb,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Veriu Suite,"₹ 12,323"
View Melbourne,yes,"562 St Kilda Rd, 3004 Melbourne, Australia","2,147 reviews",8.2,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,Buffet,single bed,double bed,Best Value Room,"₹ 9,620"
Mercure Melbourne Albert Park,yes,"65 Queens Road, Albert Park, 3004 Melbourne, Australia","1,649 reviews",7.1,4.5 out of 5,Good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, Asian, American",single bed,double bed,Standard King Room,"₹ 9,054"
Mantra on Russell,yes,"222 Russell Street, 3000 Melbourne, Australia","1,749 reviews",8.3,4.5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Studio Apartment,"₹ 11,733"
