Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
APA Hotel Yamanote Otsuka Eki Tower,yes,"170-0005 Tokyo-to, Toshima-ku Minami Otsuka 3-31-10, Japan","1,124 reviews",8.3,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Standard Double Room - Non-Smoking,"₹ 5,678"
Hotel Wing International Ikebukuro,no,"170-0013 Tokyo-to, Toshima-ku, Higashiikebukuro 3-10-7, Japan","1,532 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room - Smoking,"₹ 6,699"
APA Hotel Asakusabashi Ekimae,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-27-9, Japan",435 reviews,8.3,3 out of 5,Very good,no,yes,no,NA,yes,yes,American,single bed,double bed,Standard Double Room for 2 people - Smoking,"₹ 5,125"
Comfort Hotel Tokyo Kiyosumi Shirakawa,yes,"135-0021 Tokyo-to, Koto-ku Shirakawa 1-6-12, Japan","1,229 reviews",8.1,3 out of 5,Very good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Double Room - Non-Smoking,"₹ 6,588"
ICI HOTEL Asakusabashi,yes,"111-0053 Tokyo-to, Taito-ku Asakusabashi 1-26-6, Japan","1,912 reviews",8.7,3 out of 5,Fabulous,no,no,no,NA,yes,yes,"Continental, Vegetarian, Vegan, Halal",single bed,double bed,Standard Double Room - Non-Smoking,"₹ 6,453"
Agora Place Tokyo Asakusa,yes,"111-0042 Tokyo-to, Taito-ku Kotobuki 2-2-9, Japan","2,924 reviews",7.7,3 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Semi Double Room - Non-Smoking,"₹ 4,899"
Hotel Keihan Asakusa,yes,"111-0032 Tokyo-to, Taito-ku, Asakusa 2-12-4, Japan","1,346 reviews",7.9,3 out of 5,Good,no,yes,no,NA,yes,yes,Breakfast to go,single bed,double bed,Double Room with Small Double Bed - Non-Smoking,"₹ 6,532"
Wise Owl Hostels River Tokyo,no,"131-0033 Tokyo-to, 1-23-3 Mukojima, Sumida-ku, Japan","1,189 reviews",8.5,3 out of 5,Very good,no,yes,no,Bar,yes,yes,NA,single bed,double bed,Standard Twin Room with Shared Bathroom,"₹ 5,583"
Hotel JAL City Tokyo Toyosu,yes,"135-0061 Tokyo-to, Koto-ku Toyosu 6-4-20, Japan","3,304 reviews",8.7,4 out of 5,Fabulous,no,yes,no,NA,yes,yes,Buffet,single bed,double bed,Moderate Twin Room - Non-Smoking,"₹ 13,047"
APA Hotel Yamanote Otsuka Eki Tower,yes,"170-0005 Tokyo-to, Toshima-ku Minami Otsuka 3-31-10, Japan","1,124 reviews",8.3,3 out of 5,Very good,no,yes,no,NA,yes,yes,"Asian, American",single bed,double bed,Standard Double Room - Non-Smoking,"₹ 5,678"
Hotel Wing International Ikebukuro,no,"170-0013 Tokyo-to, Toshima-ku, Higashiikebukuro 3-10-7, Japan","1,532 reviews",8.2,3 out of 5,Very good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Standard Double Room - Smoking,"₹ 6,699"
